% Model:              HY_Ge-backup.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 31 2024, 12:12
% Table:              Table 4 - All_Compacted
% height_substrate (nm)                           ratio                                             height_waveguide (nm)                             daddy                                             Effective mode index                              real(ewfd.neff) (1)                               Wavelength in free space (nm)                     Propagation constant (rad/m)
500                                               6                                                 1000                                              1                                                 1.476259156322755-4.37238838906922E-15i           1.476259156322755                                 314.4                                             2.9502575828869164E7
500                                               6                                                 1000                                              1                                                 1.4771821780289016                                1.4771821780289016                                314.4                                             2.952102212792218E7
500                                               6                                                 1000                                              1                                                 1.477386999748245                                 1.477386999748245                                 314.4                                             2.9525115425687987E7
500                                               6                                                 1000                                              1                                                 1.4778502273052692                                1.4778502273052692                                314.4                                             2.9534372883004066E7
500                                               6                                                 1000                                              1                                                 1.4780638013614702                                1.4780638013614702                                314.4                                             2.953864109347454E7
500                                               6                                                 1000                                              2                                                 1.4736667692407235                                1.4736667692407235                                318.8                                             2.9044295458507285E7
500                                               6                                                 1000                                              2                                                 1.4746145146113334                                1.4746145146113334                                318.8                                             2.906297444152976E7
500                                               6                                                 1000                                              2                                                 1.474827969574983                                 1.474827969574983                                 318.8                                             2.9067181396019556E7
500                                               6                                                 1000                                              2                                                 1.4753021974082503                                1.4753021974082503                                318.8                                             2.9076527887093082E7
500                                               6                                                 1000                                              2                                                 1.475524782228017                                 1.475524782228017                                 318.8                                             2.9080914780660085E7
500                                               6                                                 1000                                              3                                                 1.4715787015736712                                1.4715787015736712                                323.19999999999993                                2.8608297265117895E7
500                                               6                                                 1000                                              3                                                 1.4725511483239668                                1.4725511483239668                                323.19999999999993                                2.8627202163426906E7
500                                               6                                                 1000                                              3                                                 1.472773406300176                                 1.472773406300176                                 323.19999999999993                                2.8631522980414905E7
500                                               6                                                 1000                                              3                                                 1.473258545236611                                 1.473258545236611                                 323.19999999999993                                2.8640954347485907E7
500                                               6                                                 1000                                              3                                                 1.4734903180743624                                1.4734903180743624                                323.19999999999993                                2.864546013860213E7
500                                               6                                                 1000                                              4                                                 1.469894327896084                                 1.469894327896084                                 327.6                                             2.8191753492500875E7
500                                               6                                                 1000                                              4                                                 1.4708914915114686                                1.4708914915114686                                327.6                                             2.8210878534555323E7
500                                               6                                                 1000                                              4                                                 1.4711227319963676                                1.4711227319963676                                327.6                                             2.8215313598099716E7
500                                               6                                                 1000                                              4                                                 1.4716187111652976                                1.4716187111652976                                327.6                                             2.8224826201966897E7
500                                               6                                                 1000                                              4                                                 1.471859859463073                                 1.471859859463073                                 327.6                                             2.8229451291836962E7
500                                               6                                                 1000                                              5                                                 1.468532302105247                                 1.468532302105247                                 331.99999999999994                                2.7792351155741874E7
500                                               6                                                 1000                                              5                                                 1.4695542299028055                                1.4695542299028055                                331.99999999999994                                2.7811691401894335E7
500                                               6                                                 1000                                              5                                                 1.4697946408545508                                1.4697946408545508                                331.99999999999994                                2.781624124092955E7
500                                               6                                                 1000                                              5                                                 1.4703014046847656                                1.4703014046847656                                331.99999999999994                                2.7825831876628995E7
500                                               6                                                 1000                                              5                                                 1.4705521247516995                                1.4705521247516995                                331.99999999999994                                2.7830576818318076E7
