% Model:              HY_100_sweep_SiN_Nist.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 7 2024, 21:04
% Table:              Table 2 - Global Evaluation 1
% daddy                                           Effective mode index                              Eigenvalue                                        real(ewfd.neff) (1)                               Frequency (Hz)
15                                                1.933256578251105                                 -1.5878443565327615E7i                            1.933256578251105                                 3.918855660130719E14
15                                                1.946302047817795                                 -1.5985590104813477E7i                            1.946302047817795                                 3.918855660130719E14
15                                                1.9612968387770757+2.7307282546640524E-16i        2.2428328951118075E-9-1.610874703323123E7i        1.9612968387770757                                3.918855660130719E14
16                                                1.8810145379486576-1.3651892657897704E-13i        -1.105378496949687E-6-1.5230364571430672E7i       1.8810145379486576                                3.86330487113402E14
16                                                1.9170987157895845                                -1.552253412817264E7i                             1.9170987157895845                                3.86330487113402E14
16                                                1.930015262884986                                 -1.5627117966999084E7i                            1.930015262884986                                 3.86330487113402E14
16                                                1.94333588817606                                  -1.573497358183326E7i                             1.94333588817606                                  3.86330487113402E14
16                                                1.9588920915670944                                -1.5860930422789503E7i                            1.9588920915670944                                3.86330487113402E14
17                                                1.8763094237502946-9.383213650044995E-14i         -7.491292266847477E-7-1.4979923510839194E7i       1.8763094237502946                                3.809306963151207E14
17                                                1.9133976485454052-2.4968712564828914E-16i        -1.9934313586597628E-9-1.5276025402963733E7i      1.9133976485454052                                3.809306963151207E14
17                                                1.926777591995976                                 -1.538284708542818E7i                             1.926777591995976                                 3.809306963151207E14
17                                                1.9403752394045175+3.567413406524776E-16i         2.8481219187435765E-9-1.5491406854690641E7i       1.9403752394045175                                3.809306963151207E14
17                                                1.9565038046839367                                -1.5620172756075054E7i                            1.9565038046839367                                3.809306963151207E14
18                                                1.8715838278473296-4.7051314559130494E-14i        -3.7046632621731035E-7-1.4736225574292317E7i      1.8715838278473296                                3.7567977192982456E14
18                                                1.9096916209591324                                -1.5036273601571914E7i                            1.9096916209591324                                3.7567977192982456E14
