% Model:              HY_Ge.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 9 2024, 11:35
% Table:              Table 4 - 20240708NEWREDO
% daddy                                           Effective mode index                              Eigenvalue                                        real(ewfd.neff) (1)                               Frequency (Hz)
32                                                1.4858776107061045                                -1.3530499089645948E7i                            1.4858776107061045                                4.3448182318840575E14
32                                                1.4863145886263358                                -1.3534478239280673E7i                            1.4863145886263358                                4.3448182318840575E14
32                                                1.4863736270534031                                -1.3535015847074162E7i                            1.4863736270534031                                4.3448182318840575E14
32                                                1.4866089314142383                                -1.3537158544034619E7i                            1.4866089314142383                                4.3448182318840575E14
32                                                1.4866711601552427                                -1.3537725203036305E7i                            1.4866711601552427                                4.3448182318840575E14
33                                                1.4855466648713416                                -1.3382028642077778E7i                            1.4855466648713416                                4.298099756272401E14
33                                                1.48599280857246                                  -1.3386047571895352E7i                            1.48599280857246                                  4.298099756272401E14
33                                                1.4860535778525747                                -1.3386594990745451E7i                            1.4860535778525747                                4.298099756272401E14
33                                                1.486293581173147                                 -1.3388756976892397E7i                            1.486293581173147                                 4.298099756272401E14
33                                                1.486357645554051                                 -1.3389334078507895E7i                            1.486357645554051                                 4.298099756272401E14
34                                                1.4852216322641754                                -1.3236769840776665E7i                            1.4852216322641754                                4.252375290780142E14
34                                                1.4856770302815883                                -1.3240828493446065E7i                            1.4856770302815883                                4.252375290780142E14
34                                                1.48573955931509                                  -1.324138577217595E7i                             1.48573955931509                                  4.252375290780142E14
34                                                1.4859843008104323                                -1.3243566986598069E7i                            1.4859843008104323                                4.252375290780142E14
34                                                1.4860502319688211                                -1.3244154586152216E7i                            1.4860502319688211                                4.252375290780142E14
35                                                1.484901196822707                                 -1.3094609659634829E7i                            1.484901196822707                                 4.207613445614035E14
35                                                1.4853659383882296                                -1.3098707985776762E7i                            1.4853659383882296                                4.207613445614035E14
35                                                1.4854302557255201                                -1.30992751685819E7i                              1.4854302557255201                                4.207613445614035E14
35                                                1.4856797751411854                                -1.3101475556969779E7i                            1.4856797751411854                                4.207613445614035E14
35                                                1.4857476038896806                                -1.310207370517462E7i                             1.4857476038896806                                4.207613445614035E14
36                                                1.484586504288049                                 -1.2955461265249684E7i                            1.484586504288049                                 4.163784138888888E14
36                                                1.4850606777758697                                -1.2959599209543752E7i                            1.4850606777758697                                4.163784138888888E14
36                                                1.4851268123510002                                -1.2960176342586469E7i                            1.4851268123510002                                4.163784138888888E14
36                                                1.4853811487434363                                -1.2962395846314296E7i                            1.4853811487434363                                4.163784138888888E14
