% Model:              HY_Ge.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 8 2024, 21:16
% Table:              Table 4 - 20240708NEWREDO
% daddy                                           Effective mode index                              Eigenvalue                                        real(ewfd.neff) (1)                               Frequency (Hz)
9                                                 1.492937407125564                                 -1.812638141254132E7i                             1.492937407125564                                 5.79309097584541E14
9                                                 1.492963716038743                                 -1.812670084012921E7i                             1.492963716038743                                 5.79309097584541E14
10                                                1.4916585213235236                                -1.785212743716036E7i                             1.4916585213235236                                5.710332533333332E14
10                                                1.4924302692062037                                -1.786136369422189E7i                             1.4924302692062037                                5.710332533333332E14
10                                                1.4924512566384183                                -1.7861614871223275E7i                            1.4924512566384183                                5.710332533333332E14
10                                                1.492899259366673                                 -1.7866976555337075E7i                            1.492899259366673                                 5.710332533333332E14
10                                                1.4929267035251232                                -1.7867305006257348E7i                            1.4929267035251232                                5.710332533333332E14
11                                                1.491464439081976                                 -1.7598398966799464E7i                            1.491464439081976                                 5.629905314553991E14
11                                                1.4922580967562378                                -1.7607763658325944E7i                            1.4922580967562378                                5.629905314553991E14
11                                                1.4922799486272662                                -1.7608021497490227E7i                            1.4922799486272662                                5.629905314553991E14
11                                                1.4927404613894848                                -1.761345527593406E7i                             1.4927404613894848                                5.629905314553991E14
11                                                1.492769048842488                                 -1.76137925909851E7i                              1.492769048842488                                 5.629905314553991E14
12                                                1.4911583475292924                                -1.7350415221989337E7i                            1.4911583475292924                                5.551712185185185E14
12                                                1.4919742968823428                                -1.7359909223816168E7i                            1.4919742968823428                                5.551712185185185E14
12                                                1.4919970121133135                                -1.7360173527530026E7i                            1.4919970121133135                                5.551712185185185E14
12                                                1.4924702555885532                                -1.7365679965401035E7i                            1.4924702555885532                                5.551712185185185E14
12                                                1.4924999936310615                                -1.7366025983237613E7i                            1.4924999936310615                                5.551712185185185E14
13                                                1.4908404502218204                                -1.710909006791368E7i                             1.4908404502218204                                5.475661333333333E14
13                                                1.4916790040414434                                -1.7118713426888537E7i                            1.4916790040414434                                5.475661333333333E14
13                                                1.4917026006728895                                -1.7118984225076668E7i                            1.4917026006728895                                5.475661333333333E14
13                                                1.4921887467912338                                -1.71245633047989E7i                              1.4921887467912338                                5.475661333333333E14
13                                                1.4922196614961816                                -1.7124918086205117E7i                            1.4922196614961816                                5.475661333333333E14
14                                                1.4905108048005717-3.0868896815897553E-16i        -3.4946846652700933E-9-1.687415421426193E7i       1.4905108048005717                                5.4016659099099094E14
14                                                1.4913722767364415                                -1.6883906985090766E7i                            1.4913722767364415                                5.4016659099099094E14
14                                                1.491396772418847                                 -1.688418430204893E7i                             1.491396772418847                                 5.4016659099099094E14
14                                                1.4918959936585763                                -1.6889836012965143E7i                            1.4918959936585763                                5.4016659099099094E14
14                                                1.4919281108202682                                -1.6890199613106497E7i                            1.4919281108202682                                5.4016659099099094E14
15                                                1.4901722639938877-4.668273529406223E-16i         -5.214511582197435E-9-1.6645383954298548E7i       1.4901722639938877                                5.3296436977777775E14
15                                                1.4910569665276785                                -1.6655266176452396E7i                            1.4910569665276785                                5.3296436977777775E14
15                                                1.4910823789437158                                -1.6655550035864068E7i                            1.4910823789437158                                5.3296436977777775E14
15                                                1.491594846961122                                 -1.6661274358561609E7i                            1.491594846961122                                 5.3296436977777775E14
15                                                1.4916281925018209                                -1.6661646831826283E7i                            1.4916281925018209                                5.3296436977777775E14
16                                                1.4898270323532339-6.751314875565933E-16i         -7.442063584262954E-9-1.6422560210387375E7i       1.4898270323532339                                5.259516807017543E14
16                                                1.4907352769933038                                -1.6432571911050204E7i                            1.4907352769933038                                5.259516807017543E14
16                                                1.4907616238879653                                -1.6432862336350953E7i                            1.4907616238879653                                5.259516807017543E14
16                                                1.491287509620294                                 -1.6438659244257309E7i                            1.491287509620294                                 5.259516807017543E14
16                                                1.4913221096219365                                -1.6439040644646691E7i                            1.4913221096219365                                5.259516807017543E14
17                                                1.4894756069692967-9.602548907794808E-16i         -1.044754878076705E-8-1.6205456708418839E7i       1.4894756069692967                                5.191211393939393E14
17                                                1.4904077048346358                                -1.6215597909479188E7i                            1.4904077048346358                                5.191211393939393E14
17                                                1.490435004358145                                 -1.621589492760041E7i                             1.490435004358145                                 5.191211393939393E14
17                                                1.4909744782263679                                -1.622176438956132E7i                             1.4909744782263679                                5.191211393939393E14
17                                                1.4910103592829724                                -1.622215477454429E7i                             1.4910103592829724                                5.191211393939393E14
18                                                1.4891186214979824-1.4420165632319672E-15i        -1.5487961167194355E-8-1.5993860244860925E7i      1.4891186214979824                                5.124657401709402E14
18                                                1.4900748842701603                                -1.600413097340785E7i                             1.4900748842701603                                5.124657401709402E14
18                                                1.4901031538862382                                -1.6004434602871748E7i                            1.4901031538862382                                5.124657401709402E14
18                                                1.4906563868066611                                -1.601037659425132E7i                             1.4906563868066611                                5.124657401709402E14
18                                                1.490693574929208                                 -1.6010776012824291E7i                            1.490693574929208                                 5.124657401709402E14
19                                                1.4887585316903162-2.1084570701368087E-15i        -2.23592008167131E-8-1.5787587733763456E7i        1.4887585316903162                                5.059788320675105E14
19                                                1.4897392691574938                                -1.5797987995778596E7i                            1.4897392691574938                                5.059788320675105E14
19                                                1.4897685269246401                                -1.5798298260711348E7i                            1.4897685269246401                                5.059788320675105E14
19                                                1.490335688333945                                 -1.580431274211851E7i                             1.490335688333945                                 5.059788320675105E14
19                                                1.4903742102209894                                -1.580472124870869E7i                             1.4903742102209894                                5.059788320675105E14
20                                                1.488395566046453-2.8820696904408742E-15i         -3.018096322207619E-8-1.5586441919757191E7i       1.488395566046453                                 4.996540966666666E14
20                                                1.4894010883615876                                -1.5596971724818017E7i                            1.4894010883615876                                4.996540966666666E14
20                                                1.4894313519656375                                -1.5597288644538531E7i                            1.4894313519656375                                4.996540966666666E14
20                                                1.4900126115505508                                -1.5603375580677839E7i                            1.4900126115505508                                4.996540966666666E14
20                                                1.4900524936322024                                -1.560379322486026E7i                             1.4900524936322024                                4.996540966666666E14
21                                                1.488030859248573-3.860406191277434E-15i          -3.9926991704986804E-8-1.5390244660840245E7i      1.488030859248573                                 4.9348552757201644E14
21                                                1.4890614755189784                                -1.5400904007354734E7i                            1.4890614755189784                                4.9348552757201644E14
21                                                1.4890927630802238                                -1.540122760495986E7i                             1.4890927630802238                                4.9348552757201644E14
21                                                1.4896882896139132                                -1.540738695239445E7i                             1.4896882896139132                                4.9348552757201644E14
21                                                1.4897295588535797                                -1.5407813787423769E7i                            1.4897295588535797                                4.9348552757201644E14
22                                                1.4876651866699488-5.050864336269546E-15i         -5.160246599383119E-8-1.5198822833962925E7i       1.4876651866699488                                4.874674113821138E14
22                                                1.488721205888679                                 -1.5209611719229957E7i                            1.488721205888679                                 4.874674113821138E14
22                                                1.4887535351835874                                -1.5209942013458837E7i                            1.4887535351835874                                4.874674113821138E14
22                                                1.4893634973960763                                -1.521617372990021E7i                             1.4893634973960763                                4.874674113821138E14
22                                                1.4894061805120284                                -1.5216609804578282E7i                            1.4894061805120284                                4.874674113821138E14
23                                                1.4872985613547585-6.165218920341515E-15i         -6.222845451539823E-8-1.501200396480892E7i        1.4872985613547585                                4.8159431004016056E14
23                                                1.4883802923478318                                -1.502292238453904E7i                             1.4883802923478318                                4.8159431004016056E14
23                                                1.4884136813678548                                -1.5023259395623425E7i                            1.4884136813678548                                4.8159431004016056E14
23                                                1.4890382476839088                                -1.5029563437230477E7i                            1.4890382476839088                                4.8159431004016056E14
23                                                1.4890823717142403                                -1.5030008801823365E7i                            1.4890823717142403                                4.8159431004016056E14
24                                                1.4869319444229427-6.455944772920389E-15i         -6.438713863678769E-8-1.4829633247578109E7i       1.4869319444229427                                4.7586104444444444E14
24                                                1.4880396957030586                                -1.4840681194510223E7i                            1.4880396957030586                                4.7586104444444444E14
24                                                1.4880741620927334                                -1.4841024938499425E7i                            1.4880741620927334                                4.7586104444444444E14
24                                                1.488713500778828                                 -1.4847401261418125E7i                            1.488713500778828                                 4.7586104444444444E14
24                                                1.4887590925104308                                -1.4847855961891355E7i                            1.4887590925104308                                4.7586104444444444E14
25                                                1.4865659643781355-6.567554446616754E-15i         -6.472966525974014E-8-1.4651559883190513E7i       1.4865659643781355                                4.7026267921568625E14
25                                                1.4877000437363581                                -1.4662737343207391E7i                            1.4877000437363581                                4.7026267921568625E14
25                                                1.487735605401844                                 -1.466308783816281E7i                             1.487735605401844                                 4.7026267921568625E14
25                                                1.4883898840743723                                -1.4669536393679721E7i                            1.4883898840743723                                4.7026267921568625E14
25                                                1.4884369706543445                                -1.4670000477926696E7i                            1.4884369706543445                                4.7026267921568625E14
26                                                1.486201198452815                                 -1.4477639587025452E7i                            1.486201198452815                                 4.6479450852713175E14
26                                                1.4873619131729345                                -1.4488946541560775E7i                            1.4873619131729345                                4.6479450852713175E14
26                                                1.4873985880545206                                -1.448930380524624E7i                             1.4873985880545206                                4.6479450852713175E14
26                                                1.4880679739004474                                -1.4495824542164007E7i                            1.4880679739004474                                4.6479450852713175E14
26                                                1.4881165826076301                                -1.4496298057690786E7i                            1.4881165826076301                                4.6479450852713175E14
27                                                1.485837508185749                                 -1.4307727816534903E7i                            1.485837508185749                                 4.594520429118774E14
27                                                1.4870251658627478                                -1.431916425065916E7i                             1.4870251658627478                                4.594520429118774E14
27                                                1.4870629716194257                                -1.4319528297517223E7i                            1.4870629716194257                                4.594520429118774E14
27                                                1.4877476320084215                                -1.4326121168163272E7i                            1.4877476320084215                                4.594520429118774E14
27                                                1.4877977899427073                                -1.4326604159114601E7i                            1.4877977899427073                                4.594520429118774E14
28                                                1.485475481176712                                 -1.4141693511371275E7i                            1.485475481176712                                 4.5423099696969694E14
28                                                1.4866903886230212                                -1.4153259403214052E7i                            1.4866903886230212                                4.5423099696969694E14
28                                                1.4867293431735986                                -1.4153630249668349E7i                            1.4867293431735986                                4.5423099696969694E14
28                                                1.4874294447910927                                -1.4160295201481337E7i                            1.4874294447910927                                4.5423099696969694E14
28                                                1.4874811794090053                                -1.4160787713892156E7i                            1.4874811794090053                                4.5423099696969694E14
29                                                1.4851150513623697-2.7761373514709722E-15i        -2.6131813359512903E-8-1.3979405348601194E7i      1.4851150513623697                                4.491272779026217E14
29                                                1.4863575154920905                                -1.3991100677986303E7i                            1.4863575154920905                                4.491272779026217E14
29                                                1.4863976366033709                                -1.3991478338476047E7i                            1.4863976366033709                                4.491272779026217E14
29                                                1.4871133461412411                                -1.3998215320727065E7i                            1.4871133461412411                                4.491272779026217E14
29                                                1.4871666848483927                                -1.399871739860134E7i                             1.4871666848483927                                4.491272779026217E14
30                                                1.4847570785812674                                -1.3820746460552156E7i                            1.4847570785812674                                4.441369748148148E14
30                                                1.4860274054168092                                -1.38325711996757E7i                              1.4860274054168092                                4.441369748148148E14
30                                                1.4860687109363275                                -1.3832955688910283E7i                            1.4860687109363275                                4.441369748148148E14
30                                                1.4868001944131815                                -1.3839764646294303E7i                            1.4868001944131815                                4.441369748148148E14
30                                                1.4868551647882429                                -1.3840276333780104E7i                            1.4868551647882429                                4.441369748148148E14
31                                                1.4844016327969243                                -1.3665597844898202E7i                            1.4844016327969243                                4.392563487179487E14
31                                                1.4857001284170217                                -1.3677551967391437E7i                            1.4857001284170217                                4.392563487179487E14
31                                                1.4857426359161159                                -1.3677943297052613E7i                            1.4857426359161159                                4.392563487179487E14
31                                                1.4864900593827604                                -1.368482417638428E7i                             1.4864900593827604                                4.392563487179487E14
31                                                1.4865466888262564                                -1.368534551453421E7i                             1.4865466888262564                                4.392563487179487E14
32                                                1.4840480075758842                                -1.3513838603405701E7i                            1.4840480075758842                                4.3448182318840575E14
32                                                1.485374978662405                                 -1.3525922089251906E7i                            1.485374978662405                                 4.3448182318840575E14
32                                                1.485418705557375                                 -1.3526320269228723E7i                            1.485418705557375                                 4.3448182318840575E14
32                                                1.4861822353675795                                -1.353327302181578E7i                             1.4861822353675795                                4.3448182318840575E14
32                                                1.4862405512310628                                -1.353380404989783E7i                             1.4862405512310628                                4.3448182318840575E14
33                                                1.4836968035504368                                -1.3365364812010638E7i                            1.4836968035504368                                4.298099756272401E14
33                                                1.4850525560553778                                -1.3377577635263998E7i                            1.4850525560553778                                4.298099756272401E14
33                                                1.4850975198382244                                -1.3377982675808422E7i                            1.4850975198382244                                4.298099756272401E14
33                                                1.4858773217705912                                -1.3385007249348147E7i                            1.4858773217705912                                4.298099756272401E14
33                                                1.4859373515744396                                -1.3385548006884396E7i                            1.4859373515744396                                4.298099756272401E14
34                                                1.483349089126978                                 -1.3220081137901915E7i                            1.483349089126978                                 4.252375290780142E14
34                                                1.48473392759669                                  -1.3232423260917109E7i                            1.48473392759669                                  4.252375290780142E14
34                                                1.4847801460482049                                -1.3232835174527716E7i                            1.4847801460482049                                4.252375290780142E14
34                                                1.485576384821492                                 -1.3239931508940943E7i                            1.485576384821492                                 4.252375290780142E14
34                                                1.4856381564623384                                -1.3240482037545435E7i                            1.4856381564623384                                4.252375290780142E14
35                                                1.4830031023362924                                -1.3077871302598085E7i                            1.4830031023362924                                4.207613445614035E14
35                                                1.4844173334736597                                -1.3090342707935998E7i                            1.4844173334736597                                4.207613445614035E14
35                                                1.4844648235845457                                -1.3090761499749267E7i                            1.4844648235845457                                4.207613445614035E14
35                                                1.4852776653969677                                -1.3097929549900666E7i                            1.4852776653969677                                4.207613445614035E14
35                                                1.4853412060964066                                -1.3098489883920487E7i                            1.4853412060964066                                4.207613445614035E14
36                                                1.4826607482770198                                -1.2938655873758417E7i                            1.4826607482770198                                4.163784138888888E14
