% Model:              HY_Ge.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 10 2024, 13:50
% Table:              Table 1 - 20240708NEWREDO
% daddy                                           Effective mode index                              Eigenvalue                                        real(ewfd.neff) (1)                               Frequency (Hz)
7                                                 1.52579562911116-2.447740710657636E-16i           -2.8711154578075995E-9-1.789705664951476E7i       1.52579562911116                                  5.5966233602986925E14
7                                                 1.5258816697446917                                -1.7898065876480088E7i                            1.5258816697446917                                5.5966233602986925E14
7                                                 1.5297518685461333                                -1.7943461974012908E7i                            1.5297518685461333                                5.5966233602986925E14
7                                                 1.5297729254209715                                -1.794370896389455E7i                             1.5297729254209715                                5.5966233602986925E14
8                                                 1.5253844244397357+3.399955445225659E-16i         3.9609178180173835E-9-1.7770592713424604E7i       1.5253844244397357                                5.558574622991347E14
8                                                 1.5255045882268683-2.6760502764584626E-16i        -3.1175747425805343E-9-1.7771992610844444E7i      1.5255045882268683                                5.558574622991347E14
8                                                 1.5255922572433935                                -1.7773013947080277E7i                            1.5255922572433935                                5.558574622991347E14
8                                                 1.5295127293273023                                -1.781868709775053E7i                             1.5295127293273023                                5.558574622991347E14
8                                                 1.5295342388721682                                -1.7818937682032853E7i                            1.5295342388721682                                5.558574622991347E14
9                                                 1.5250897186631978+3.632810203026879E-16i         4.203613202841726E-9-1.7647184737449817E7i        1.5250897186631978                                5.521039742173112E14
9                                                 1.525212440067397-2.407948087687666E-16i          -2.786295404237628E-9-1.764860477672006E7i        1.525212440067397                                 5.521039742173112E14
9                                                 1.525301755760372                                 -1.7649638270366102E7i                            1.525301755760372                                 5.521039742173112E14
9                                                 1.529272787939699                                 -1.769558805129333E7i                             1.529272787939699                                 5.521039742173112E14
9                                                 1.529294756765982                                 -1.7695842257935166E7i                            1.529294756765982                                 5.521039742173112E14
10                                                1.5247954455243036+3.60938379854679E-16i          4.148492789817298E-9-1.7525437206901196E7i        1.5247954455243036                                5.48400837804878E14
10                                                1.5249207639536755-2.5833014472280776E-16i        -2.9691515299827833E-9-1.7526877570768543E7i      1.5249207639536755                                5.48400837804878E14
10                                                1.5250117441380389                                -1.7527923263495926E7i                            1.5250117441380389                                5.48400837804878E14
10                                                1.529033616759761                                 -1.7574149185991324E7i                            1.529033616759761                                 5.48400837804878E14
10                                                1.5290560516088298                                -1.7574407043882858E7i                            1.5290560516088298                                5.48400837804878E14
11                                                1.524500590822981+3.441193176472154E-16i          3.9288287835693186E-9-1.7405305353807785E7i       1.524500590822981                                 5.447470466384009E14
11                                                1.5246285437150597-2.6382791061364457E-16i        -3.0121374650361123E-9-1.740676619886809E7i       1.5246285437150597                                5.447470466384009E14
11                                                1.5247212066954992                                -1.740782413710652E7i                             1.5247212066954992                                5.447470466384009E14
11                                                1.528794203682585                                 -1.7454325763076436E7i                            1.528794203682585                                 5.447470466384009E14
11                                                1.5288171112688826                                -1.745458730022298E7i                             1.5288171112688826                                5.447470466384009E14
12                                                1.5242061698979923+3.195492153331706E-16i         3.6241641420616305E-9-1.7286768613385446E7i       1.5242061698979923                                5.411416209386281E14
12                                                1.5243367961102658-2.793000743672991E-16i         -3.1676789233912984E-9-1.728825010922965E7i       1.5243367961102658                                5.411416209386281E14
12                                                1.524431159953917                                 -1.7289320335792754E7i                            1.524431159953917                                 5.411416209386281E14
12                                                1.5285555610767858                                -1.7336097188746046E7i                            1.5285555610767858                                5.411416209386281E14
12                                                1.5285789482012255                                -1.7336362433577556E7i                            1.5285789482012255                                5.411416209386281E14
13                                                1.5239115434528248+2.8327423917164457E-16i        3.191627981110137E-9-1.7169788319063038E7i        1.5239115434528248                                5.375836066945607E14
