% Model:              HY_Ge-backup.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 31 2024, 15:54
% Table:              Table 1 - All_Compacted
% height_substrate (nm)                           ratio                                             height_waveguide (nm)                             daddy                                             Effective mode index                              real(ewfd.neff) (1)                               Wavelength in free space (nm)                     Propagation constant (rad/m)
1000                                              1                                                 500                                               1                                                 1.4737144809900284-8.813051939961687E-8i          1.4737144809900284                                314.4                                             2.9451721291139748E7
1000                                              1                                                 500                                               1                                                 1.4740825971687432-3.300044487717726E-9i          1.4740825971687432                                314.4                                             2.945907797741658E7
1000                                              1                                                 500                                               1                                                 1.4741109164729822-1.1466960727678944E-7i         1.4741109164729822                                314.4                                             2.9459643929822125E7
1000                                              1                                                 500                                               1                                                 1.4742886737502434-5.291327506647043E-8i          1.4742886737502434                                314.4                                             2.9463196353208676E7
1000                                              1                                                 500                                               1                                                 1.4746539489456345-2.3056095996195173E-9i         1.4746539489456345                                314.4                                             2.947049626332559E7
1000                                              1                                                 500                                               2                                                 1.4710502330817294-9.349443060530707E-8i          1.4710502330817294                                318.8                                             2.8992726507597953E7
1000                                              1                                                 500                                               2                                                 1.4714310880743504-3.457015008174893E-9i          1.4714310880743504                                318.8                                             2.900023272621088E7
1000                                              1                                                 500                                               2                                                 1.4714693668125487-1.222867772441965E-7i          1.4714693668125487                                318.8                                             2.900098715659176E7
1000                                              1                                                 500                                               2                                                 1.4716525325552636-5.651491929319127E-8i          1.4716525325552636                                318.8                                             2.9004597144996423E7
1000                                              1                                                 500                                               2                                                 1.472026865021941-2.495376145521734E-9i           1.472026865021941                                 318.8                                             2.901197481204356E7
1000                                              1                                                 500                                               3                                                 1.4688897833138232-9.904570699216247E-8i          1.4688897833138232                                323.19999999999993                                2.8556023219008725E7
1000                                              1                                                 500                                               3                                                 1.4692834863048752-3.6175175494042142E-9i         1.4692834863048752                                323.19999999999993                                2.856367702113982E7
1000                                              1                                                 500                                               3                                                 1.469332124699683-1.3014725624970643E-7i          1.469332124699683                                 323.19999999999993                                2.856462257821786E7
1000                                              1                                                 500                                               3                                                 1.4695207305547442-6.023482000267091E-8i          1.4695207305547442                                323.19999999999993                                2.8568289179509223E7
1000                                              1                                                 500                                               3                                                 1.4699041476365962-2.6935664063696165E-9i         1.4699041476365962                                323.19999999999993                                2.857574301792263E7
1000                                              1                                                 500                                               4                                                 1.4671324410915116-1.0479516676105202E-7i         1.4671324410915116                                327.6                                             2.813878204381167E7
1000                                              1                                                 500                                               4                                                 1.467539118836991-3.781816949794717E-9i           1.467539118836991                                 327.6                                             2.814658189617783E7
1000                                              1                                                 500                                               4                                                 1.467598525175895-1.3827000728475888E-7i          1.467598525175895                                 327.6                                             2.814772127662885E7
1000                                              1                                                 500                                               4                                                 1.4677926106022618-6.408206949997289E-8i          1.4677926106022618                                327.6                                             2.8151443726870872E7
1000                                              1                                                 500                                               4                                                 1.4681851499024807-2.9007664217955856E-9i         1.4681851499024807                                327.6                                             2.8158972411741525E7
1000                                              1                                                 500                                               5                                                 1.4661871923489496-1.4667363494876277E-7i         1.4661871923489496                                331.99999999999994                                2.774796935102955E7
1000                                              1                                                 500                                               5                                                 1.465696808310478-1.1075358381407805E-7i          1.465696808310478                                 331.99999999999994                                2.773868870709762E7
1000                                              1                                                 500                                               5                                                 1.466116602783907-3.950159578746366E-9i           1.466116602783907                                 331.99999999999994                                2.7746633425373178E7
1000                                              1                                                 500                                               5                                                 1.4663868034748884-6.806563273462868E-8i          1.4663868034748884                                331.99999999999994                                2.7751747042877886E7
1000                                              1                                                 500                                               5                                                 1.4667885112215788-3.117574511283306E-9i          1.4667885112215788                                331.99999999999994                                2.7759349465202544E7
1000                                              1                                                 500                                               6                                                 1.4650323224837922-1.5537632677487018E-7i         1.4650323224837922                                336.4                                             2.7363464813238252E7
1000                                              1                                                 500                                               6                                                 1.4645170619227417-1.1693059207523326E-7i         1.4645170619227417                                336.4                                             2.735384092029366E7
1000                                              1                                                 500                                               6                                                 1.4649501282327726-4.122775851897715E-9i          1.4649501282327726                                336.4                                             2.7361929611959E7
1000                                              1                                                 500                                               6                                                 1.465237511131282-7.219430748649121E-8i           1.465237511131282                                 336.4                                             2.7367297269525733E7
1000                                              1                                                 500                                               6                                                 1.4656484408194543-3.3445969808594498E-9i         1.4656484408194543                                336.4                                             2.7374972499546565E7
1000                                              1                                                 500                                               7                                                 1.4635418991450593-3.315816218219351E-7i          1.4635418991450593                                340.8                                             2.6982702339054998E7
1000                                              1                                                 500                                               7                                                 1.4640807013929282-1.6439583754224373E-7i         1.4640807013929282                                340.8                                             2.6992636007973086E7
1000                                              1                                                 500                                               7                                                 1.4639864754476903-4.299883095422814E-9i          1.4639864754476903                                340.8                                             2.6990898804115478E7
1000                                              1                                                 500                                               7                                                 1.4642915242469459-7.647670871228336E-8i          1.4642915242469459                                340.8                                             2.6996522859671388E7
