% Model:              HY_Ge-backup.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 31 2024, 15:55
% Table:              Table 4 - All_Compacted
% height_substrate (nm)                           ratio                                             height_waveguide (nm)                             daddy                                             Effective mode index                              real(ewfd.neff) (1)                               Wavelength in free space (nm)                     Propagation constant (rad/m)
1000                                              6                                                 500                                               1                                                 1.4743514521112921-2.6809450007598527E-8i         1.4743514521112921                                314.4                                             2.946445095904758E7
1000                                              6                                                 500                                               1                                                 1.4755557571356057-1.468867791344124E-13i         1.4755557571356057                                314.4                                             2.9488518616916947E7
1000                                              6                                                 500                                               1                                                 1.4758059761009115-5.967605147931558E-13i         1.4758059761009115                                314.4                                             2.949351916439273E7
1000                                              6                                                 500                                               1                                                 1.4774103037290593                                1.4774103037290593                                314.4                                             2.952558114842925E7
1000                                              6                                                 500                                               1                                                 1.4776258517364635                                1.4776258517364635                                314.4                                             2.9529888807694875E7
1000                                              6                                                 500                                               2                                                 1.4717160690319468-2.8996450317067323E-8i         1.4717160690319468                                318.8                                             2.900584937666758E7
1000                                              6                                                 500                                               2                                                 1.4729423008210865-1.5947142763883267E-13i        1.4729423008210865                                318.8                                             2.9030017010170463E7
1000                                              6                                                 500                                               2                                                 1.4732033034300422-6.751288374605109E-13i         1.4732033034300422                                318.8                                             2.9035161074655175E7
1000                                              6                                                 500                                               2                                                 1.474849820239943                                 1.474849820239943                                 318.8                                             2.906761204776682E7
1000                                              6                                                 500                                               2                                                 1.4750744802325966                                1.4750744802325966                                318.8                                             2.9072039840630535E7
1000                                              6                                                 500                                               3                                                 1.4695850450191552-3.127606686879239E-8i          1.4695850450191552                                323.19999999999993                                2.8569539487980217E7
1000                                              6                                                 500                                               3                                                 1.4708329579513133-1.7260335388790338E-13i        1.4708329579513133                                323.19999999999993                                2.8593799599985093E7
1000                                              6                                                 500                                               3                                                 1.4711049619103111-7.606804581292228E-13i         1.4711049619103111                                323.19999999999993                                2.8599087506169096E7
1000                                              6                                                 500                                               3                                                 1.4727936664948211                                1.4727936664948211                                323.19999999999993                                2.8631916849713527E7
1000                                              6                                                 500                                               3                                                 1.4730276182739352-3.499416327271248E-16i         1.4730276182739352                                323.19999999999993                                2.86364650006452E7
