% Model:              HY_Ge-backup.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 31 2024, 15:55
% Table:              Table 2 - All_Compacted
% height_substrate (nm)                           ratio                                             height_waveguide (nm)                             daddy                                             Effective mode index                              real(ewfd.neff) (1)                               Wavelength in free space (nm)                     Propagation constant (rad/m)
1000                                              2                                                 500                                               1                                                 1.473734587503888-2.0135471204018743E-7i          1.473734587503888                                 314.4                                             2.9452123113507625E7
1000                                              2                                                 500                                               1                                                 1.4743110447161771-4.3751080042014156E-8i         1.4743110447161771                                314.4                                             2.9463643429940425E7
1000                                              2                                                 500                                               1                                                 1.4742284224672955-7.381884811269446E-8i          1.4742284224672955                                314.4                                             2.946199225023235E7
1000                                              2                                                 500                                               1                                                 1.4751489553557-2.421976012994688E-12i            1.4751489553557                                   314.4                                             2.9480388811044052E7
1000                                              2                                                 500                                               1                                                 1.4754798484275278-6.577878406384477E-12i         1.4754798484275278                                314.4                                             2.9487001605214395E7
1000                                              2                                                 500                                               2                                                 1.4710814438898898-2.1469185282949361E-7i         1.4710814438898898                                318.8                                             2.899334163711884E7
1000                                              2                                                 500                                               2                                                 1.4716754563920786-4.678941989836862E-8i          1.4716754563920786                                318.8                                             2.9005048947740022E7
1000                                              2                                                 500                                               2                                                 1.4715904656333463-7.884672407757757E-8i          1.4715904656333463                                318.8                                             2.900337387657781E7
1000                                              2                                                 500                                               2                                                 1.472527573789286-2.5772981897744273E-12i         1.472527573789286                                 318.8                                             2.9021843212200895E7
1000                                              2                                                 500                                               2                                                 1.4728724474098953-7.2722122003404755E-12i        1.4728724474098953                                318.8                                             2.902864027890681E7
1000                                              2                                                 500                                               3                                                 1.4689325635696995-2.2836646937805034E-7i         1.4689325635696995                                323.19999999999993                                2.855685489065216E7
1000                                              2                                                 500                                               3                                                 1.4695442108921868-4.993030107452137E-8i          1.4695442108921868                                323.19999999999993                                2.8568745650150392E7
1000                                              2                                                 500                                               3                                                 1.4694568350167652-8.404222083934601E-8i          1.4694568350167652                                323.19999999999993                                2.8567047015197884E7
1000                                              2                                                 500                                               3                                                 1.4704102849123903-2.737143118236169E-12i         1.4704102849123903                                323.19999999999993                                2.8585582604230445E7
1000                                              2                                                 500                                               3                                                 1.4707694123212423-8.013504300960347E-12i         1.4707694123212423                                323.19999999999993                                2.8592564238075443E7
1000                                              2                                                 500                                               4                                                 1.4671872629340654-2.424882395397052E-7i          1.4671872629340654                                327.6                                             2.8139833496179335E7
1000                                              2                                                 500                                               4                                                 1.4677268708182758-8.941820864247039E-8i          1.4677268708182758                                327.6                                             2.8150182874475148E7
1000                                              2                                                 500                                               4                                                 1.4678166515660351-5.318150064980635E-8i          1.4678166515660351                                327.6                                             2.815190481914911E7
1000                                              2                                                 500                                               4                                                 1.4686964462335252-2.9018889364799228E-12i        1.4686964462335252                                327.6                                             2.816877879023613E7
1000                                              2                                                 500                                               4                                                 1.4690701163948787-8.80552413961707E-12i          1.4690701163948787                                327.6                                             2.817594557554611E7
1000                                              2                                                 500                                               5                                                 1.4657641505774435-2.570899534549327E-7i          1.4657641505774435                                331.99999999999994                                2.7739963176803496E7
1000                                              2                                                 500                                               5                                                 1.4663192015184963-9.498740248540732E-8i          1.4663192015184963                                331.99999999999994                                2.7750467658482887E7
1000                                              2                                                 500                                               5                                                 1.4664114096152907-5.655071629284744E-8i          1.4664114096152907                                331.99999999999994                                2.775221272040753E7
1000                                              2                                                 500                                               5                                                 1.467304699503197-3.0720526621745036E-12i         1.467304699503197                                 331.99999999999994                                2.7769118461066406E7
1000                                              2                                                 500                                               5                                                 1.4676932150312099-9.652188178972654E-12i         1.4676932150312099                                331.99999999999994                                2.7776471217262853E7
1000                                              2                                                 500                                               6                                                 1.4645974095872072-2.722031051003536E-7i          1.4645974095872072                                336.4                                             2.7355341631544657E7
1000                                              2                                                 500                                               6                                                 1.4651680270815115-1.0076231000199488E-7i         1.4651680270815115                                336.4                                             2.7365999465837855E7
1000                                              2                                                 500                                               6                                                 1.465262687364273-6.004552689867636E-8i           1.465262687364273                                 336.4                                             2.736776750417858E7
1000                                              2                                                 500                                               6                                                 1.466169254641897-3.2480279333373172E-12i         1.466169254641897                                 336.4                                             2.7384700114757467E7
1000                                              2                                                 500                                               6                                                 1.4665729300941663-1.055769920975612E-11i         1.4665729300941663                                336.4                                             2.739223985218484E7
1000                                              2                                                 500                                               7                                                 1.4636338146020718-2.878590207382147E-7i          1.4636338146020718                                340.8                                             2.6984396945419442E7
1000                                              2                                                 500                                               7                                                 1.4642201364437644-1.0675521039644112E-7i         1.4642201364437644                                340.8                                             2.699520671296933E7
1000                                              2                                                 500                                               7                                                 1.4643172758050653-6.367337481321155E-8i          1.4643172758050653                                340.8                                             2.6996997630245373E7
1000                                              2                                                 500                                               7                                                 1.4652369078244427-3.4302120582630445E-12i        1.4652369078244427                                340.8                                             2.701395249641956E7
1000                                              2                                                 500                                               7                                                 1.4656560682918673-1.1526687203139257E-11i        1.4656560682918673                                340.8                                             2.7021680380487263E7
1000                                              2                                                 500                                               8                                                 1.462830333327474-3.0408548293866215E-7i          1.462830333327474                                 345.19999999999993                                2.662582287734589E7
1000                                              2                                                 500                                               8                                                 1.463432509405064-1.1297815421141143E-7i          1.463432509405064                                 345.19999999999993                                2.66367834332064E7
1000                                              2                                                 500                                               8                                                 1.4635321565357888-6.744156096827026E-8i          1.4635321565357888                                345.19999999999993                                2.6638597168396648E7
1000                                              2                                                 500                                               8                                                 1.4644646438605453-3.6190866940430865E-12i        1.4644646438605453                                345.19999999999993                                2.6655569910743237E7
1000                                              2                                                 500                                               8                                                 1.4648996237960312-1.2563751473197386E-11i        1.4648996237960312                                345.19999999999993                                2.6663487232700255E7
