% Model:              HY_Ge-backup.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 31 2024, 11:50
% Table:              Table 4 - All_Compacted
% height_substrate (nm)                           ratio                                             height_waveguide (nm)                             daddy                                             Effective mode index                              real(ewfd.neff) (1)                               Wavelength in free space (nm)                     Propagation constant (rad/m)
250                                               6                                                 1499.9999999999998                                1                                                 1.4782047341437619                                1.4782047341437619                                314.4                                             2.954145759088865E7
250                                               6                                                 1499.9999999999998                                1                                                 1.4785810322989132                                1.4785810322989132                                314.4                                             2.9548977791396175E7
250                                               6                                                 1499.9999999999998                                1                                                 1.4787154761640675                                1.4787154761640675                                314.4                                             2.9551664609838214E7
250                                               6                                                 1499.9999999999998                                1                                                 1.4788841627467222                                1.4788841627467222                                314.4                                             2.9555035758240424E7
250                                               6                                                 1499.9999999999998                                1                                                 1.479021840908455                                 1.479021840908455                                 314.4                                             2.9557787213084314E7
250                                               6                                                 1499.9999999999998                                2                                                 1.4756676625195975+3.6140528653218457E-16i        1.4756676625195975                                318.8                                             2.9083730788654886E7
250                                               6                                                 1499.9999999999998                                2                                                 1.4760534365440154                                1.4760534365440154                                318.8                                             2.9091333955788244E7
250                                               6                                                 1499.9999999999998                                2                                                 1.4761935952023277                                1.4761935952023277                                318.8                                             2.9094096323487688E7
250                                               6                                                 1499.9999999999998                                2                                                 1.4763655346206668                                1.4763655346206668                                318.8                                             2.9097485053810876E7
250                                               6                                                 1499.9999999999998                                2                                                 1.4765090693940153                                1.4765090693940153                                318.8                                             2.9100313960896738E7
250                                               6                                                 1499.9999999999998                                3                                                 1.4736351117890887+2.3905295478394984E-15i        1.4736351117890887                                323.19999999999993                                2.864827500785009E7
250                                               6                                                 1499.9999999999998                                3                                                 1.4740303161446655                                1.4740303161446655                                323.19999999999993                                2.8655957997331195E7
250                                               6                                                 1499.9999999999998                                3                                                 1.4741763026701808                                1.4741763026701808                                323.19999999999993                                2.865879605547527E7
250                                               6                                                 1499.9999999999998                                3                                                 1.4743514193617313                                1.4743514193617313                                323.19999999999993                                2.866220042002784E7
250                                               6                                                 1499.9999999999998                                3                                                 1.4745009266818385                                1.4745009266818385                                323.19999999999993                                2.8665106924350284E7
250                                               6                                                 1499.9999999999998                                4                                                 1.4720065307808543+2.5844598709584375E-16i        1.4720065307808543                                327.6                                             2.8232264365917757E7
250                                               6                                                 1499.9999999999998                                4                                                 1.4724111352279026                                1.4724111352279026                                327.6                                             2.8240024453576222E7
250                                               6                                                 1499.9999999999998                                4                                                 1.4725630693216267                                1.4725630693216267                                327.6                                             2.8242938464764707E7
250                                               6                                                 1499.9999999999998                                4                                                 1.4727412940599187                                1.4727412940599187                                327.6                                             2.8246356715854485E7
250                                               6                                                 1499.9999999999998                                4                                                 1.4728968966701756                                1.4728968966701756                                327.6                                             2.8249341087144244E7
