% Model:              HY_Ge-backup.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 31 2024, 11:50
% Table:              Table 1 - All_Compacted
% height_substrate (nm)                           ratio                                             height_waveguide (nm)                             daddy                                             Effective mode index                              real(ewfd.neff) (1)                               Wavelength in free space (nm)                     Propagation constant (rad/m)
250                                               1                                                 1499.9999999999998                                1                                                 1.4657801534892698-5.055656891612279E-15i         1.4657801534892698                                314.4                                             2.9293156246689625E7
250                                               1                                                 1499.9999999999998                                1                                                 1.4678771049110255                                1.4678771049110255                                314.4                                             2.933506316260262E7
250                                               1                                                 1499.9999999999998                                1                                                 1.468241562258271                                 1.468241562258271                                 314.4                                             2.9342346728281073E7
250                                               1                                                 1499.9999999999998                                1                                                 1.4756218211716516                                1.4756218211716516                                314.4                                             2.9489838885939263E7
250                                               1                                                 1499.9999999999998                                1                                                 1.475692741533251                                 1.475692741533251                                 314.4                                             2.9491256207103327E7
250                                               1                                                 1499.9999999999998                                2                                                 1.462894899253251-9.611925784625173E-15i          1.462894899253251                                 318.8                                             2.8831994156009994E7
250                                               1                                                 1499.9999999999998                                2                                                 1.4650425428867264                                1.4650425428867264                                318.8                                             2.8874321768691648E7
250                                               1                                                 1499.9999999999998                                2                                                 1.4654227514626468                                1.4654227514626468                                318.8                                             2.8881815247166827E7
250                                               1                                                 1499.9999999999998                                2                                                 1.473011367876213                                 1.473011367876213                                 318.8                                             2.9031378243250705E7
250                                               1                                                 1499.9999999999998                                2                                                 1.4730851938929934                                1.4730851938929934                                318.8                                             2.9032833270050965E7
250                                               1                                                 1499.9999999999998                                3                                                 1.4605129643313448-6.6072051060749985E-15i        1.4605129643313448                                323.19999999999993                                2.8393173262475275E7
250                                               1                                                 1499.9999999999998                                3                                                 1.4627111398675623                                1.4627111398675623                                323.19999999999993                                2.8435907000816125E7
250                                               1                                                 1499.9999999999998                                3                                                 1.4631074197462657                                1.4631074197462657                                323.19999999999993                                2.8443610899056844E7
250                                               1                                                 1499.9999999999998                                3                                                 1.4709050965974737                                1.4709050965974737                                323.19999999999993                                2.8595202014841635E7
