% Model:              HY_Ge-backup.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 31 2024, 11:39
% Table:              Table 4 - All_Compacted
% height_substrate (nm)                           ratio                                             height_waveguide (nm)                             daddy                                             Effective mode index                              real(ewfd.neff) (1)                               Wavelength in free space (nm)                     Propagation constant (rad/m)
250                                               6                                                 1000                                              1                                                 1.4748869208957183-6.451947461440617E-15i         1.4748869208957183                                314.4                                             2.947515213461615E7
250                                               6                                                 1000                                              1                                                 1.4756794725011617                                1.4756794725011617                                314.4                                             2.949099102966228E7
250                                               6                                                 1000                                              1                                                 1.4760306830835155                                1.4760306830835155                                314.4                                             2.949800986290265E7
250                                               6                                                 1000                                              1                                                 1.4763550230953362                                1.4763550230953362                                314.4                                             2.950449169622581E7
250                                               6                                                 1000                                              1                                                 1.4767165672164686                                1.4767165672164686                                314.4                                             2.9511717041994885E7
250                                               6                                                 1000                                              2                                                 1.4722577243690573-4.2940072139519094E-16i        1.4722577243690573                                318.8                                             2.9016524787130844E7
250                                               6                                                 1000                                              2                                                 1.4730695764332484                                1.4730695764332484                                318.8                                             2.903252546768708E7
250                                               6                                                 1000                                              2                                                 1.4734354310475075                                1.4734354310475075                                318.8                                             2.9039736045908153E7
250                                               6                                                 1000                                              2                                                 1.473765023714914                                 1.473765023714914                                 318.8                                             2.9046231942411296E7
250                                               6                                                 1000                                              2                                                 1.4741416589266059                                1.4741416589266059                                318.8                                             2.905365499394288E7
250                                               6                                                 1000                                              3                                                 1.4701327541996074+1.4557119233877815E-15i        1.4701327541996074                                323.19999999999993                                2.858018725492089E7
250                                               6                                                 1000                                              3                                                 1.4709637750515945                                1.4709637750515945                                323.19999999999993                                2.859634275618068E7
250                                               6                                                 1000                                              3                                                 1.471344558980469                                 1.471344558980469                                 323.19999999999993                                2.8603745404655665E7
250                                               6                                                 1000                                              3                                                 1.4716792016394469                                1.4716792016394469                                323.19999999999993                                2.8610251041530803E7
250                                               6                                                 1000                                              3                                                 1.4720712220762635                                1.4720712220762635                                323.19999999999993                                2.861787213388452E7
250                                               6                                                 1000                                              4                                                 1.4684113400593046                                1.4684113400593046                                327.6                                             2.816331061280985E7
250                                               6                                                 1000                                              4                                                 1.4692614307004497                                1.4692614307004497                                327.6                                             2.8179614877236634E7
250                                               6                                                 1000                                              4                                                 1.4696574451040085                                1.4696574451040085                                327.6                                             2.8187210212651383E7
250                                               6                                                 1000                                              4                                                 1.4699969477435626                                1.4699969477435626                                327.6                                             2.8193721683947463E7
250                                               6                                                 1000                                              4                                                 1.4704046639670114                                1.4704046639670114                                327.6                                             2.820154145374194E7
250                                               6                                                 1000                                              5                                                 1.4670120988750182                                1.4670120988750182                                331.99999999999994                                2.7763580918994583E7
250                                               6                                                 1000                                              5                                                 1.4678811878207705                                1.4678811878207705                                331.99999999999994                                2.7780028650604773E7
250                                               6                                                 1000                                              5                                                 1.4682927475751715                                1.4682927475751715                                331.99999999999994                                2.778781752470682E7
250                                               6                                                 1000                                              5                                                 1.4686369306740763                                1.4686369306740763                                331.99999999999994                                2.7794331278291207E7
250                                               6                                                 1000                                              5                                                 1.4690606674465552                                1.4690606674465552                                331.99999999999994                                2.7802350605589256E7
250                                               6                                                 1000                                              6                                                 1.4658692186484619                                1.4658692186484619                                336.4                                             2.7379096126215328E7
250                                               6                                                 1000                                              6                                                 1.4667572574244363                                1.4667572574244363                                336.4                                             2.7395682666611902E7
250                                               6                                                 1000                                              6                                                 1.467184689353717                                 1.467184689353717                                 336.4                                             2.7403666120886207E7
250                                               6                                                 1000                                              6                                                 1.4675333819419576                                1.4675333819419576                                336.4                                             2.7410178903725553E7
250                                               6                                                 1000                                              6                                                 1.4679734764042247                                1.4679734764042247                                336.4                                             2.7418398865256727E7
250                                               6                                                 1000                                              7                                                 1.46492947634617                                  1.46492947634617                                  340.8                                             2.700828451241942E7
250                                               6                                                 1000                                              7                                                 1.4658364355875044                                1.4658364355875044                                340.8                                             2.7025005735950418E7
250                                               6                                                 1000                                              7                                                 1.4662800770091415                                1.4662800770091415                                340.8                                             2.7033184965005834E7
250                                               6                                                 1000                                              7                                                 1.4666331149570269                                1.4666331149570269                                340.8                                             2.70396937761767E7
250                                               6                                                 1000                                              7                                                 1.4670899151280592                                1.4670899151280592                                340.8                                             2.7048115607523374E7
250                                               6                                                 1000                                              8                                                 1.4641498400421773                                1.4641498400421773                                345.19999999999993                                2.6649839983958144E7
250                                               6                                                 1000                                              8                                                 1.4650757061368473                                1.4650757061368473                                345.19999999999993                                2.66666922094577E7
