% Model:              HY_Ge-backup.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 31 2024, 11:39
% Table:              Table 2 - All_Compacted
% height_substrate (nm)                           ratio                                             height_waveguide (nm)                             daddy                                             Effective mode index                              real(ewfd.neff) (1)                               Wavelength in free space (nm)                     Propagation constant (rad/m)
250                                               2                                                 1000                                              1                                                 1.4609879261997203                                1.4609879261997203                                314.4                                             2.9197385088628676E7
250                                               2                                                 1000                                              1                                                 1.4689531914401155                                1.4689531914401155                                314.4                                             2.9356568414093815E7
250                                               2                                                 1000                                              1                                                 1.4689701169535179                                1.4689701169535179                                314.4                                             2.93569066651661E7
250                                               2                                                 1000                                              1                                                 1.4746762867712646                                1.4746762867712646                                314.4                                             2.9470942677758776E7
250                                               2                                                 1000                                              1                                                 1.474953833823376                                 1.474953833823376                                 314.4                                             2.947648936847086E7
250                                               2                                                 1000                                              2                                                 1.4579757851951298                                1.4579757851951298                                318.8                                             2.8735044014308844E7
250                                               2                                                 1000                                              2                                                 1.4661527467721343                                1.4661527467721343                                318.8                                             2.889620262421476E7
250                                               2                                                 1000                                              2                                                 1.466170220453018                                 1.466170220453018                                 318.8                                             2.8896547010585498E7
250                                               2                                                 1000                                              2                                                 1.4720388164671216                                1.4720388164671216                                318.8                                             2.9012210361431133E7
250                                               2                                                 1000                                              2                                                 1.4723279049005833                                1.4723279049005833                                318.8                                             2.901790796556414E7
250                                               2                                                 1000                                              3                                                 1.455466694560493                                 1.455466694560493                                 323.19999999999993                                2.8295071009751633E7
250                                               2                                                 1000                                              3                                                 1.4638557318372676                                1.4638557318372676                                323.19999999999993                                2.8458158496629145E7
250                                               2                                                 1000                                              3                                                 1.463873762842742                                 1.463873762842742                                 323.19999999999993                                2.845850902926736E7
250                                               2                                                 1000                                              3                                                 1.4699053619282372                                1.4699053619282372                                323.19999999999993                                2.8575766624418292E7
250                                               2                                                 1000                                              3                                                 1.4702062163279939                                1.4702062163279939                                323.19999999999993                                2.8581615398997966E7
250                                               2                                                 1000                                              4                                                 1.453359496452318                                 1.453359496452318                                 327.6                                             2.7874624646395374E7
250                                               2                                                 1000                                              4                                                 1.4619612530153043                                1.4619612530153043                                327.6                                             2.8039601540328495E7
250                                               2                                                 1000                                              4                                                 1.461979850488974                                 1.461979850488974                                 327.6                                             2.8039958229502223E7
250                                               2                                                 1000                                              4                                                 1.4681752503504581                                1.4681752503504581                                327.6                                             2.815878254385442E7
250                                               2                                                 1000                                              4                                                 1.4684881076856293                                1.4684881076856293                                327.6                                             2.8164782973071728E7
250                                               2                                                 1000                                              5                                                 1.451572403211816+2.372567233838405E-16i          1.451572403211816                                 331.99999999999994                                2.7471380711348932E7
250                                               2                                                 1000                                              5                                                 1.4603877402195775                                1.4603877402195775                                331.99999999999994                                2.763821322931581E7
250                                               2                                                 1000                                              5                                                 1.4604069132174113                                1.4604069132174113                                331.99999999999994                                2.7638576083226305E7
250                                               2                                                 1000                                              5                                                 1.4667670970375273                                1.4667670970375273                                331.99999999999994                                2.7758944196267005E7
250                                               2                                                 1000                                              5                                                 1.467092204955714                                 1.467092204955714                                 331.99999999999994                                2.7765096947154954E7
250                                               2                                                 1000                                              6                                                 1.4500392679304273+3.165007002081712E-16i         1.4500392679304273                                336.4                                             2.7083428725011606E7
250                                               2                                                 1000                                              6                                                 1.459069225049692                                 1.459069225049692                                 336.4                                             2.725208774372809E7
250                                               2                                                 1000                                              6                                                 1.459088982491775                                 1.459088982491775                                 336.4                                             2.7252456767716803E7
250                                               2                                                 1000                                              6                                                 1.4656150889153448                                1.4656150889153448                                336.4                                             2.7374349561990477E7
250                                               2                                                 1000                                              6                                                 1.4659527043497451                                1.4659527043497451                                336.4                                             2.7380655448842146E7
250                                               2                                                 1000                                              7                                                 1.4487065911271266+3.3288990619693263E-16i        1.4487065911271266                                340.8                                             2.6709190046315096E7
250                                               2                                                 1000                                              7                                                 1.4579523538593337                                1.4579523538593337                                340.8                                             2.687965025920439E7
