% Model:              HY_Ge-backup.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 31 2024, 16:19
% Table:              Table 1 - All_Compacted
% height_substrate (nm)                           ratio                                             height_waveguide (nm)                             daddy                                             Effective mode index                              real(ewfd.neff) (1)                               Wavelength in free space (nm)                     Propagation constant (rad/m)
1000                                              1                                                 1499.9999999999998                                1                                                 1.474343370639329-2.9475764542605405E-8i          1.474343370639329                                 314.4                                             2.9464289453367233E7
1000                                              1                                                 1499.9999999999998                                1                                                 1.4742159960402457-5.36927507741869E-10i          1.4742159960402457                                314.4                                             2.946174391198852E7
1000                                              1                                                 1499.9999999999998                                1                                                 1.474467311625766-5.653729446703906E-9i           1.474467311625766                                 314.4                                             2.9466766375075057E7
1000                                              1                                                 1499.9999999999998                                1                                                 1.477504912431006-3.077989357114227E-16i          1.477504912431006                                 314.4                                             2.952747187363918E7
1000                                              1                                                 1499.9999999999998                                1                                                 1.4775247205999331                                1.4775247205999331                                314.4                                             2.9527867733677235E7
1000                                              1                                                 1499.9999999999998                                2                                                 1.4717085183527465-3.164171332246478E-8i          1.4717085183527465                                318.8                                             2.900570056137081E7
1000                                              1                                                 1499.9999999999998                                2                                                 1.471564168707693-5.771240764802338E-10i          1.471564168707693                                 318.8                                             2.9002855594090708E7
1000                                              1                                                 1499.9999999999998                                2                                                 1.4718294527660096-6.562641742172573E-9i          1.4718294527660096                                318.8                                             2.9008084041071396E7
1000                                              1                                                 1499.9999999999998                                2                                                 1.4749492008015062-3.463972882399229E-16i         1.4749492008015062                                318.8                                             2.906957072557182E7
1000                                              1                                                 1499.9999999999998                                2                                                 1.4749696209814915                                1.4749696209814915                                318.8                                             2.906997318408767E7
1000                                              1                                                 1499.9999999999998                                3                                                 1.4695780170916444-3.388467464548316E-8i          1.4695780170916444                                323.19999999999993                                2.8569402861213893E7
1000                                              1                                                 1499.9999999999998                                3                                                 1.4694163065595676-6.240607509153218E-10i         1.4694163065595676                                323.19999999999993                                2.856625911975609E7
1000                                              1                                                 1499.9999999999998                                3                                                 1.469695985053644-7.569024912764247E-9i           1.469695985053644                                 323.19999999999993                                2.8571696223112267E7
1000                                              1                                                 1499.9999999999998                                3                                                 1.4728979202134331-3.9123231433023804E-16i        1.4728979202134331                                323.19999999999993                                2.863394359919682E7
1000                                              1                                                 1499.9999999999998                                3                                                 1.4729189596630106                                1.4729189596630106                                323.19999999999993                                2.863435261763883E7
1000                                              1                                                 1499.9999999999998                                4                                                 1.4678512101495287-3.621076060025705E-8i          1.4678512101495287                                327.6                                             2.8152567633508217E7
1000                                              1                                                 1499.9999999999998                                4                                                 1.4676717125461924-6.769424842782558E-10i         1.4676717125461924                                327.6                                             2.8149124969576728E7
1000                                              1                                                 1499.9999999999998                                4                                                 1.4679662374670313-8.68059403710684E-9i           1.4679662374670313                                327.6                                             2.8154773793310586E7
1000                                              1                                                 1499.9999999999998                                4                                                 1.4712505022852682-4.3698105090489984E-16i        1.4712505022852682                                327.6                                             2.8217764160987124E7
1000                                              1                                                 1499.9999999999998                                4                                                 1.4712721681212215                                1.4712721681212215                                327.6                                             2.821817969963831E7
1000                                              1                                                 1499.9999999999998                                5                                                 1.4664467288021625-3.862591860254314E-8i          1.4664467288021625                                331.99999999999994                                2.7752881145094324E7
1000                                              1                                                 1499.9999999999998                                5                                                 1.466248981171348-7.404912931009121E-10i          1.466248981171348                                 331.99999999999994                                2.7749138720370036E7
1000                                              1                                                 1499.9999999999998                                5                                                 1.4665588294408638-9.905575400073174E-9i          1.4665588294408638                                331.99999999999994                                2.775500267848593E7
1000                                              1                                                 1499.9999999999998                                5                                                 1.4699256496800461-4.890190301669841E-16i         1.4699256496800461                                331.99999999999994                                2.781872061661468E7
1000                                              1                                                 1499.9999999999998                                5                                                 1.4699479487709748                                1.4699479487709748                                331.99999999999994                                2.7819142632640243E7
1000                                              1                                                 1499.9999999999998                                6                                                 1.4652987755124585-4.113595843274351E-8i          1.4652987755124585                                336.4                                             2.7368441548537806E7
1000                                              1                                                 1499.9999999999998                                6                                                 1.4650822823050484-8.342701567295813E-10i         1.4650822823050484                                336.4                                             2.7364397948835358E7
1000                                              1                                                 1499.9999999999998                                6                                                 1.4654079539605744-1.125264750528635E-8i          1.4654079539605744                                336.4                                             2.7370480753118847E7
1000                                              1                                                 1499.9999999999998                                6                                                 1.4688576223349235-5.44230562902604E-16i          1.4688576223349235                                336.4                                             2.743491269617578E7
1000                                              1                                                 1499.9999999999998                                6                                                 1.4688805612259852                                1.4688805612259852                                336.4                                             2.7435341142380543E7
1000                                              1                                                 1499.9999999999998                                7                                                 1.4643541414386876-4.374656205983672E-8i          1.4643541414386876                                340.8                                             2.6997677306323763E7
1000                                              1                                                 1499.9999999999998                                7                                                 1.4641183853922515-1.2425700175115509E-9i         1.4641183853922515                                340.8                                             2.6993330771913417E7
1000                                              1                                                 1499.9999999999998                                7                                                 1.4644603948682575-1.2730879381730712E-8i         1.4644603948682575                                340.8                                             2.6999636255817633E7
1000                                              1                                                 1499.9999999999998                                7                                                 1.4679932574382968-6.025333687455143E-16i         1.4679932574382968                                340.8                                             2.7064770147227127E7
1000                                              1                                                 1499.9999999999998                                7                                                 1.4680168422981148                                1.4680168422981148                                340.8                                             2.7065204971301895E7
1000                                              1                                                 1499.9999999999998                                8                                                 1.4635698083511233-4.6463291963555485E-8i         1.4635698083511233                                345.19999999999993                                2.6639282490913738E7
1000                                              1                                                 1499.9999999999998                                8                                                 1.4633180708686562-1.1253265097464732E-7i         1.4633180708686562                                345.19999999999993                                2.663470047106697E7
1000                                              1                                                 1499.9999999999998                                8                                                 1.4636731285358286-1.4349668853023639E-8i         1.4636731285358286                                345.19999999999993                                2.6641163081488695E7
1000                                              1                                                 1499.9999999999998                                8                                                 1.4672895733658353-6.677826266486588E-16i         1.4672895733658353                                345.19999999999993                                2.6706988090237603E7
1000                                              1                                                 1499.9999999999998                                8                                                 1.4673138099490508                                1.4673138099490508                                345.19999999999993                                2.6707429234338287E7
1000                                              1                                                 1499.9999999999998                                9                                                 1.4629110167653925-4.929159803039293E-8i          1.4629110167653925                                349.6                                             2.6292165349689536E7
1000                                              1                                                 1499.9999999999998                                9                                                 1.46264890344419-1.197989292377958E-7i            1.46264890344419                                  349.6                                             2.6287454518543668E7
1000                                              1                                                 1499.9999999999998                                9                                                 1.4630113917435918-1.6118681629174033E-8i         1.4630113917435918                                349.6                                             2.6293969338786308E7
1000                                              1                                                 1499.9999999999998                                9                                                 1.4667118394688883-7.533172903629736E-16i         1.4667118394688883                                349.6                                             2.6360475628195826E7
1000                                              1                                                 1499.9999999999998                                9                                                 1.4667367330897096                                1.4667367330897096                                349.6                                             2.6360923028746706E7
1000                                              1                                                 1499.9999999999998                                10                                                1.462349706855384-5.223682511420533E-8i           1.462349706855384                                 354                                               2.5955407322237637E7
