% Model:              HY_Ge-backup.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 29 2024, 18:43
% Table:              Table 1 - Global Evaluation 1
% daddy                                           Effective mode index                              real(ewfd.neff) (1)                               Wavelength in free space (nm)                     Propagation constant (rad/m)
1                                                 1.475907264137446-1.1426154002746163E-15i         1.475907264137446                                 314.4                                             2.9495543374007702E7
1                                                 1.4782516848120764                                1.4782516848120764                                314.4                                             2.95423958852567E7
1                                                 1.4782566099053562                                1.4782566099053562                                314.4                                             2.954249431169987E7
1                                                 1.4797440590133684                                1.4797440590133684                                314.4                                             2.957222051520063E7
1                                                 1.4797841055771728                                1.4797841055771728                                314.4                                             2.957302083320731E7
2                                                 1.4733037353036562-2.351202729275534E-15i         1.4733037353036562                                318.8                                             2.9037140472624637E7
2                                                 1.4757140658697312                                1.4757140658697312                                318.8                                             2.9084645345893797E7
2                                                 1.4757192041310054                                1.4757192041310054                                318.8                                             2.9084746615177806E7
2                                                 1.4772499120050353                                1.4772499120050353                                318.8                                             2.9114915125917107E7
2                                                 1.4772917009336162                                1.4772917009336162                                318.8                                             2.911573873815695E7
3                                                 1.4712044769363113+1.0496092725834132E-15i        1.4712044769363113                                323.19999999999993                                2.8601022132868376E7
3                                                 1.4736809128661597                                1.4736809128661597                                323.19999999999993                                2.8649165405914772E7
3                                                 1.4736862679101017                                1.4736862679101017                                323.19999999999993                                2.864926951090678E7
3                                                 1.4752603995279814                                1.4752603995279814                                323.19999999999993                                2.8679871493125305E7
3                                                 1.4753039652184257                                1.4753039652184257                                323.19999999999993                                2.8680718434047632E7
4                                                 1.4695088453047735-4.506649385638083E-16i         1.4695088453047735                                327.6                                             2.8184360151371766E7
4                                                 1.4720516713994356                                1.4720516713994356                                327.6                                             2.8233130137808558E7
4                                                 1.4720572470887587                                1.4720572470887587                                327.6                                             2.8233237076420378E7
4                                                 1.4736750285280265                                1.4736750285280265                                327.6                                             2.8264265222236726E7
4                                                 1.4737204075403003                                1.4737204075403003                                327.6                                             2.8265135566385604E7
5                                                 1.4681354785042748-2.1947680012295832E-15i        1.4681354785042748                                331.99999999999994                                2.7784841167129915E7
5                                                 1.4707450544211136                                1.4707450544211136                                331.99999999999994                                2.7834228061884888E7
5                                                 1.4707508548248254                                1.4707508548248254                                331.99999999999994                                2.783433783601554E7
5                                                 1.472412563830426                                 1.472412563830426                                 331.99999999999994                                2.786578610592156E7
5                                                 1.472459794622892                                 1.472459794622892                                 331.99999999999994                                2.78666799608049E7
6                                                 1.4670185812879255-6.663317330956621E-15i         1.4670185812879255                                336.4                                             2.740056360079588E7
6                                                 1.4696953292495343                                1.4696953292495343                                336.4                                             2.7450559152113963E7
6                                                 1.4697013586091696                                1.4697013586091696                                336.4                                             2.7450671766810376E7
6                                                 1.4714073165275108                                1.4714073165275108                                336.4                                             2.7482535172658138E7
6                                                 1.471456439236959                                 1.471456439236959                                 336.4                                             2.7483452672914542E7
7                                                 1.4661049437758107-1.1649020387239215E-14i        1.4661049437758107                                340.8                                             2.702995610773335E7
