% Model:              HY_Ge-backup.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 29 2024, 17:38
% Table:              Table 1 - Global Evaluation 1
% daddy                                           Effective mode index                              real(ewfd.neff) (1)                               Wavelength in free space (nm)                     Propagation constant (rad/m)
1                                                 1.4726442285291934                                1.4726442285291934                                314.4                                             2.943033263167126E7
1                                                 1.4743306347140168                                1.4743306347140168                                314.4                                             2.9464034929897785E7
1                                                 1.4744623047159016                                1.4744623047159016                                314.4                                             2.9466666313553125E7
1                                                 1.4783065457002091                                1.4783065457002091                                314.4                                             2.9543492262884736E7
1                                                 1.478343546036867                                 1.478343546036867                                 314.4                                             2.9544231702998128E7
2                                                 1.4699488144227562                                1.4699488144227562                                318.8                                             2.8971018798893075E7
2                                                 1.471679771826885                                 1.471679771826885                                 318.8                                             2.9005134000050467E7
2                                                 1.471817278287822                                 1.471817278287822                                 318.8                                             2.9007844095957E7
2                                                 1.4757715292896947                                1.4757715292896947                                318.8                                             2.9085777884526215E7
2                                                 1.4758100626562805                                1.4758100626562805                                318.8                                             2.908653733334293E7
3                                                 1.4677573439333498                                1.4677573439333498                                323.19999999999993                                2.853400797619727E7
3                                                 1.4695328778746464                                1.4695328778746464                                323.19999999999993                                2.8568525330072127E7
3                                                 1.4696763392079881                                1.4696763392079881                                323.19999999999993                                2.8571314297095027E7
3                                                 1.4737409912688744                                1.4737409912688744                                323.19999999999993                                2.8650333363022495E7
3                                                 1.4737810875422825                                1.4737810875422825                                323.19999999999993                                2.8651112856574323E7
4                                                 1.4659690528343745-1.9283593096435873E-15i        1.4659690528343745                                327.6                                             2.8116468905826967E7
4                                                 1.4677892472881817                                1.4677892472881817                                327.6                                             2.8151379220382433E7
4                                                 1.4679387895589708                                1.4679387895589708                                327.6                                             2.815424735774087E7
4                                                 1.4721143846897908                                1.4721143846897908                                327.6                                             2.8234332943744227E7
4                                                 1.472156075382071                                 1.472156075382071                                 327.6                                             2.8235132547972497E7
5                                                 1.4645024786036454-5.491446378344746E-15i         1.4645024786036454                                331.99999999999994                                2.7716085710513588E7
5                                                 1.466367466025937                                 1.466367466025937                                 331.99999999999994                                2.775138107668774E7
5                                                 1.4665232220791582                                1.4665232220791582                                331.99999999999994                                2.7754328800016362E7
5                                                 1.470810429281505                                 1.470810429281505                                 331.99999999999994                                2.783546529791582E7
5                                                 1.4708537473181784                                1.4708537473181784                                331.99999999999994                                2.7836285102890406E7
6                                                 1.4632917421542624-5.501148454893785E-15i         1.4632917421542624                                336.4                                             2.733095473965779E7
6                                                 1.4652016948862214                                1.4652016948862214                                336.4                                             2.7366628303697184E7
6                                                 1.465363803616355                                 1.465363803616355                                 336.4                                             2.7369656125312347E7
6                                                 1.4697633984789955                                1.4697633984789955                                336.4                                             2.7451830530182995E7
6                                                 1.4698083780173878                                1.4698083780173878                                336.4                                             2.745267064544682E7
7                                                 1.4622835639012024-5.4462257195952885E-15i        1.4622835639012024                                340.8                                             2.6959502944936134E7
7                                                 1.4642386869259956                                1.4642386869259956                                340.8                                             2.6995548720356055E7
7                                                 1.4644072926635265                                1.4644072926635265                                340.8                                             2.6998657232952185E7
7                                                 1.4689201400497558                                1.4689201400497558                                340.8                                             2.7081858689497665E7
7                                                 1.4689668163292817                                1.4689668163292817                                340.8                                             2.7082719240300808E7
8                                                 1.461434864327614-5.23089510199901E-15i           1.461434864327614                                 345.19999999999993                                2.6600423137147326E7
8                                                 1.4634353891763467                                1.4634353891763467                                345.19999999999993                                2.663683584959288E7
8                                                 1.4636106411710847                                1.4636106411710847                                345.19999999999993                                2.664002571274002E7
8                                                 1.4682376805575779                                1.4682376805575779                                345.19999999999993                                2.67242451388378E7
8                                                 1.4682860897756151                                1.4682860897756151                                345.19999999999993                                2.6725126263077382E7
9                                                 1.4607108308877126-4.920554031452995E-15i         1.4607108308877126                                349.6                                             2.6252622513363156E7
