% Model:              HY_Ge-backup.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 29 2024, 21:12
% Table:              Table 1 - Global Evaluation 1
% daddy                                           Effective mode index                              real(ewfd.neff) (1)                               Wavelength in free space (nm)                     Propagation constant (rad/m)
7                                                 1.4701325534487375                                1.4701325534487375                                340.8                                             2.7104211442005616E7
7                                                 1.4701805430236445                                1.4701805430236445                                340.8                                             2.710509620547966E7
7                                                 1.4709267519093034                                1.4709267519093034                                340.8                                             2.711885374276387E7
7                                                 1.4709882789659983                                1.4709882789659983                                340.8                                             2.7119988091057938E7
8                                                 1.4681476554836608+3.983467649138412E-16i         1.4681476554836608                                345.19999999999993                                2.6722606540281273E7
8                                                 1.4694801196926786                                1.4694801196926786                                345.19999999999993                                2.67468594937588E7
8                                                 1.4695299605196872                                1.4695299605196872                                345.19999999999993                                2.6747766675543156E7
8                                                 1.4702949389316418                                1.4702949389316418                                345.19999999999993                                2.676169049106547E7
8                                                 1.4703588470254767                                1.4703588470254767                                345.19999999999993                                2.6762853719327904E7
9                                                 1.4675877965211002+5.980442295023076E-16i         1.4675877965211002                                349.6                                             2.6376218764580775E7
9                                                 1.4689540099575595                                1.4689540099575595                                349.6                                             2.6400773032860044E7
9                                                 1.4690057432188133                                1.4690057432188133                                349.6                                             2.6401702808795407E7
9                                                 1.4697896462230344                                1.4697896462230344                                349.6                                             2.641579150398527E7
9                                                 1.469855988710692                                 1.469855988710692                                 349.6                                             2.641698384421322E7
10                                                1.467125915891545+2.304207708610087E-16i          1.467125915891545                                 354                                               2.6040180786757484E7
10                                                1.4685262029204813                                1.4685262029204813                                354                                               2.606503463671807E7
10                                                1.4685798708110587                                1.4685798708110587                                354                                               2.6065987194067057E7
10                                                1.4693828627099068                                1.4693828627099068                                354                                               2.608023958644171E7
10                                                1.4694516942830653                                1.4694516942830653                                354                                               2.608146128567657E7
11                                                1.4667394088166485-2.2053044634341814E-16i        1.4667394088166485                                358.3999999999999                                 2.571371513096551E7
11                                                1.468174107771296                                 1.468174107771296                                 358.3999999999999                                 2.573886713819784E7
11                                                1.4682297534130864                                1.4682297534130864                                358.3999999999999                                 2.573984267357425E7
11                                                1.4690520061882821                                1.4690520061882821                                358.3999999999999                                 2.5754257758830663E7
11                                                1.4691233827627692                                1.4691233827627692                                358.3999999999999                                 2.575550907647601E7
12                                                1.4664100843265124-2.1982832298513698E-16i        1.4664100843265124                                362.8                                             2.539615847888732E7
12                                                1.467879545224322                                 1.467879545224322                                 362.8                                             2.542160747316128E7
12                                                1.4679372125928343                                1.4679372125928343                                362.8                                             2.542260619080885E7
12                                                1.4687789045861863                                1.4687789045861863                                362.8                                             2.5437183111332007E7
12                                                1.4688528832076748                                1.4688528832076748                                362.8                                             2.5438464316920713E7
13                                                1.4661233386754118-1.9273951914831006E-16i        1.4661233386754118                                367.2                                             2.5086940686488092E7
13                                                1.4676279212832264                                1.4676279212832264                                367.2                                             2.5112685706463195E7
13                                                1.4676876551451468                                1.4676876551451468                                367.2                                             2.511370781682147E7
13                                                1.4685489699413465                                1.4685489699413465                                367.2                                             2.5128445835536994E7
13                                                1.4686256087048368                                1.4686256087048368                                367.2                                             2.5129757206867937E7
14                                                1.4658674841999793-2.967253394347196E-16i         1.4658674841999793                                371.6                                             2.4785567919799816E7
14                                                1.4674075563953486                                1.4674075563953486                                371.6                                             2.4811608175423983E7
14                                                1.467469402255037                                 1.467469402255037                                 371.6                                             2.481265389393018E7
14                                                1.4683505277359292                                1.4683505277359292                                371.6                                             2.482755237260436E7
14                                                1.4684298857167075                                1.4684298857167075                                371.6                                             2.4828894194183566E7
15                                                1.465633203719815                                 1.465633203719815                                 376                                               2.4491609072677888E7
15                                                1.467209140103254                                 1.467209140103254                                 376                                               2.451794391397968E7
15                                                1.4672731441567672                                1.4672731441567672                                376                                               2.451901346006647E7
15                                                1.4681742717009436                                1.4681742717009436                                376                                               2.453407184130441E7
15                                                1.4682564088952277                                1.4682564088952277                                376                                               2.4535444403039247E7
16                                                1.4654131065086438                                1.4654131065086438                                380.3999999999999                                 2.4204684804846227E7
