% Model:              HY_Ge-backup.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 31 2024, 12:04
% Table:              Table 3 - All_Compacted
% height_substrate (nm)                           ratio                                             height_waveguide (nm)                             daddy                                             Effective mode index                              real(ewfd.neff) (1)                               Wavelength in free space (nm)                     Propagation constant (rad/m)
500                                               4                                                 500                                               1                                                 1.4600086563983976-1.219555821233117E-15i         1.4600086563983976                                314.4                                             2.917781468905032E7
500                                               4                                                 500                                               1                                                 1.4670408219671096                                1.4670408219671096                                314.4                                             2.9318350310484752E7
500                                               4                                                 500                                               1                                                 1.4676252342642615                                1.4676252342642615                                314.4                                             2.933002960679137E7
500                                               4                                                 500                                               1                                                 1.4721556136160519                                1.4721556136160519                                314.4                                             2.9420567816012483E7
500                                               4                                                 500                                               1                                                 1.472803381475941                                 1.472803381475941                                 314.4                                             2.9433513253352553E7
500                                               4                                                 500                                               2                                                 1.4569821146718216-9.45912199766022E-15i          1.4569821146718216                                318.8                                             2.871545989877488E7
500                                               4                                                 500                                               2                                                 1.4641897451561037                                1.4641897451561037                                318.8                                             2.8857514095633164E7
500                                               4                                                 500                                               2                                                 1.4647987475428432                                1.4647987475428432                                318.8                                             2.886951683982513E7
500                                               4                                                 500                                               2                                                 1.4694488652321958                                1.4694488652321958                                318.8                                             2.896116536913001E7
500                                               4                                                 500                                               2                                                 1.4701232719004416                                1.4701232719004416                                318.8                                             2.8974457157301236E7
500                                               4                                                 500                                               3                                                 1.4544589610645666-1.22894087827475E-14i          1.4544589610645666                                323.19999999999993                                2.827548011774929E7
500                                               4                                                 500                                               3                                                 1.4618417783608337                                1.4618417783608337                                323.19999999999993                                2.8419006136194516E7
500                                               4                                                 500                                               3                                                 1.462475862928728                                 1.462475862928728                                 323.19999999999993                                2.8431333088052507E7
500                                               4                                                 500                                               3                                                 1.467245775387434                                 1.467245775387434                                 323.19999999999993                                2.85240628030187E7
500                                               4                                                 500                                               3                                                 1.4679473351463797                                1.4679473351463797                                323.19999999999993                                2.853770150960755E7
500                                               4                                                 500                                               4                                                 1.4523380691572345+1.479069084599504E-14i         1.4523380691572345                                327.6                                             2.7855034240495432E7
500                                               4                                                 500                                               4                                                 1.4598959876936468                                1.4598959876936468                                327.6                                             2.7999990903196428E7
500                                               4                                                 500                                               4                                                 1.460555673996659                                 1.460555673996659                                 327.6                                             2.801264331860068E7
500                                               4                                                 500                                               4                                                 1.4654455979669536                                1.4654455979669536                                327.6                                             2.8106429333385114E7
500                                               4                                                 500                                               4                                                 1.4661748524771738                                1.4661748524771738                                327.6                                             2.812041602820749E7
500                                               4                                                 500                                               5                                                 1.4505376881293073+4.332065884930365E-14i         1.4505376881293073                                331.99999999999994                                2.74517984625431E7
500                                               4                                                 500                                               5                                                 1.4582707722059924                                1.4582707722059924                                331.99999999999994                                2.7598149065705184E7
500                                               4                                                 500                                               5                                                 1.458956603717242                                 1.458956603717242                                 331.99999999999994                                2.761112860327953E7
500                                               4                                                 500                                               5                                                 1.4639668888065331                                1.4639668888065331                                331.99999999999994                                2.7705949535983797E7
500                                               4                                                 500                                               5                                                 1.4647244031557451                                1.4647244031557451                                331.99999999999994                                2.7720285689685445E7
500                                               4                                                 500                                               6                                                 1.4489917116619597+7.326564999298233E-14i         1.4489917116619597                                336.4                                             2.7063862761413272E7
500                                               4                                                 500                                               6                                                 1.4569001400221802                                1.4569001400221802                                336.4                                             2.721157417899894E7
500                                               4                                                 500                                               6                                                 1.457612681233941                                 1.457612681233941                                 336.4                                             2.722488282487437E7
500                                               4                                                 500                                               6                                                 1.4627437866865662                                1.4627437866865662                                336.4                                             2.7320720180372365E7
500                                               4                                                 500                                               6                                                 1.4635301461834729                                1.4635301461834729                                336.4                                             2.7335407583574284E7
500                                               4                                                 500                                               7                                                 1.4476466834460333+9.467660548824404E-14i         1.4476466834460333                                340.8                                             2.6689648977157783E7
500                                               4                                                 500                                               7                                                 1.455730719840007                                 1.455730719840007                                 340.8                                             2.6838690933417525E7
500                                               4                                                 500                                               7                                                 1.4564705538782372                                1.4564705538782372                                340.8                                             2.6852330940338768E7
500                                               4                                                 500                                               7                                                 1.4617230289663323                                1.4617230289663323                                340.8                                             2.6949168599669304E7
500                                               4                                                 500                                               7                                                 1.4625388365233265                                1.4625388365233265                                340.8                                             2.696420929818923E7
500                                               4                                                 500                                               8                                                 1.4464593890721995+1.0344490960093324E-13i        1.4464593890721995                                345.19999999999993                                2.632784583096873E7
500                                               4                                                 500                                               8                                                 1.4547193577728135                                1.4547193577728135                                345.19999999999993                                2.647819030946659E7
500                                               4                                                 500                                               8                                                 1.4554870844243695                                1.4554870844243695                                345.19999999999993                                2.6492164147291E7
500                                               4                                                 500                                               8                                                 1.4608615519237418                                1.4608615519237418                                345.19999999999993                                2.6589987945743985E7
500                                               4                                                 500                                               8                                                 1.4617074259063902                                1.4617074259063902                                345.19999999999993                                2.6605384188442428E7
500                                               4                                                 500                                               9                                                 1.4453949158058892+9.231365470438444E-14i         1.4453949158058892                                349.6                                             2.597735725990743E7
500                                               4                                                 500                                               9                                                 1.4538311812103613                                1.4538311812103613                                349.6                                             2.6128978023170717E7
500                                               4                                                 500                                               9                                                 1.4546274152831806                                1.4546274152831806                                349.6                                             2.6143288338466525E7
500                                               4                                                 500                                               9                                                 1.460124557566145                                 1.460124557566145                                 349.6                                             2.624208571725313E7
500                                               4                                                 500                                               9                                                 1.461001130015038                                 1.461001130015038                                 349.6                                             2.6257839913853712E7
500                                               4                                                 500                                               10                                                1.4444250865449701+3.628743074798242E-14i         1.4444250865449701                                354                                               2.5637261246047907E7
500                                               4                                                 500                                               10                                                1.4530380361443866                                1.4530380361443866                                354                                               2.579013344484602E7
500                                               4                                                 500                                               10                                                1.4538634060967415                                1.4538634060967415                                354                                               2.5804783027777158E7
