% Model:              HY_Ge-backup.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 31 2024, 12:03
% Table:              Table 2 - All_Compacted
% height_substrate (nm)                           ratio                                             height_waveguide (nm)                             daddy                                             Effective mode index                              real(ewfd.neff) (1)                               Wavelength in free space (nm)                     Propagation constant (rad/m)
500                                               2                                                 500                                               1                                                 1.456707869356074-1.1522242779706913E-7i          1.456707869356074                                 314.4                                             2.9111849496154465E7
500                                               2                                                 500                                               1                                                 1.4570187519294937-2.4201085594644777E-8i         1.4570187519294937                                314.4                                             2.9118062386795588E7
500                                               2                                                 500                                               1                                                 1.457446760111868-1.064948968920289E-9i           1.457446760111868                                 314.4                                             2.9126615995964948E7
500                                               2                                                 500                                               1                                                 1.4681758911143075                                1.4681758911143075                                314.4                                             2.934103431108369E7
500                                               2                                                 500                                               1                                                 1.4686893819654716                                1.4686893819654716                                314.4                                             2.9351296264555085E7
500                                               2                                                 500                                               2                                                 1.4539840742751968-2.7005121033345674E-8i         1.4539840742751968                                318.8                                             2.8656371933372106E7
500                                               2                                                 500                                               2                                                 1.453664656392781-1.2582178009433538E-7i          1.453664656392781                                 318.8                                             2.8650076570305467E7
500                                               2                                                 500                                               2                                                 1.4544070877603397-1.3206645318409612E-9i         1.4544070877603397                                318.8                                             2.866470904790971E7
500                                               2                                                 500                                               2                                                 1.4653653762414953                                1.4653653762414953                                318.8                                             2.888068444683265E7
500                                               2                                                 500                                               2                                                 1.4659008457281213                                1.4659008457281213                                318.8                                             2.8891237941220388E7
500                                               2                                                 500                                               3                                                 1.451453336049187-2.997912855258205E-8i           1.451453336049187                                 323.19999999999993                                2.8217049118567593E7
500                                               2                                                 500                                               3                                                 1.4511250755528478-1.369080393532101E-7i          1.4511250755528478                                323.19999999999993                                2.8210667554435395E7
500                                               2                                                 500                                               3                                                 1.451871602725746-1.6206364271817718E-9i          1.451871602725746                                 323.19999999999993                                2.8225180452220555E7
500                                               2                                                 500                                               3                                                 1.4630582149400388                                1.4630582149400388                                323.19999999999993                                2.844265433063009E7
500                                               2                                                 500                                               3                                                 1.4636161057226384                                1.4636161057226384                                323.19999999999993                                2.845350003350212E7
500                                               2                                                 500                                               4                                                 1.4489881462323615-1.4851089591992354E-7i         1.4489881462323615                                327.6                                             2.77907845869492E7
500                                               2                                                 500                                               4                                                 1.4493255584771703-3.31326237539016E-8i           1.4493255584771703                                327.6                                             2.779725596563981E7
500                                               2                                                 500                                               4                                                 1.4497392798358477-1.9705144423423786E-9i         1.4497392798358477                                327.6                                             2.7805190910579093E7
500                                               2                                                 500                                               4                                                 1.4611535505795743                                1.4611535505795743                                327.6                                             2.8024110258042928E7
500                                               2                                                 500                                               4                                                 1.4617343311865116                                1.4617343311865116                                327.6                                             2.8035249306199837E7
500                                               2                                                 500                                               5                                                 1.4471722507894649-1.6066050940486704E-7i         1.4471722507894649                                331.99999999999994                                2.7388106696139693E7
500                                               2                                                 500                                               5                                                 1.447519127388378-3.6475808507088576E-8i          1.447519127388378                                 331.99999999999994                                2.7394671424903836E7
500                                               2                                                 500                                               5                                                 1.4479284668927968-2.376536973731259E-9i          1.4479284668927968                                331.99999999999994                                2.740241828020447E7
500                                               2                                                 500                                               5                                                 1.4595698499063157                                1.4595698499063157                                331.99999999999994                                2.7622734444980953E7
500                                               2                                                 500                                               5                                                 1.4601740115029496                                1.4601740115029496                                331.99999999999994                                2.7634168358436175E7
500                                               2                                                 500                                               6                                                 1.445611401915482-1.7338724017658637E-7i          1.445611401915482                                 336.4                                             2.700072627944899E7
500                                               2                                                 500                                               6                                                 1.445968060226926-4.001937344658574E-8i           1.445968060226926                                 336.4                                             2.700738784384301E7
500                                               2                                                 500                                               6                                                 1.4463731508207989-2.845551356433528E-9i          1.4463731508207989                                336.4                                             2.7014954012890268E7
500                                               2                                                 500                                               6                                                 1.4582411801594577                                1.4582411801594577                                336.4                                             2.7236621752384435E7
500                                               2                                                 500                                               6                                                 1.4588692338766935                                1.4588692338766935                                336.4                                             2.724835236441849E7
500                                               2                                                 500                                               7                                                 1.444252247811354-1.8672159791975919E-7i          1.444252247811354                                 340.8                                             2.662706720454633E7
500                                               2                                                 500                                               7                                                 1.4446190108917818-4.377436914162006E-8i          1.4446190108917818                                340.8                                             2.6633829060174733E7
500                                               2                                                 500                                               7                                                 1.4450199615788712-3.3850265295473166E-9i         1.4450199615788712                                340.8                                             2.6641221218232315E7
500                                               2                                                 500                                               7                                                 1.457114221545088                                 1.457114221545088                                 340.8                                             2.6864197968587194E7
500                                               2                                                 500                                               7                                                 1.457766696261009                                 1.457766696261009                                 340.8                                             2.687622736867047E7
500                                               2                                                 500                                               8                                                 1.44305166447654-2.006936908376451E-7i            1.44305166447654                                  345.19999999999993                                2.6265819860197112E7
500                                               2                                                 500                                               8                                                 1.4434288617257092-4.775209298775366E-8i          1.4434288617257092                                345.19999999999993                                2.6272685445984736E7
500                                               2                                                 500                                               8                                                 1.443825763234603-4.003058327026633E-9i           1.443825763234603                                 345.19999999999993                                2.627990968042587E7
500                                               2                                                 500                                               8                                                 1.456145865000408                                 1.456145865000408                                 345.19999999999993                                2.6504154994440537E7
500                                               2                                                 500                                               8                                                 1.4568233054893718                                1.4568233054893718                                345.19999999999993                                2.6516485481482096E7
500                                               2                                                 500                                               9                                                 1.441974816296274-2.153333967456083E-7i           1.441974816296274                                 349.6                                             2.5915889528248657E7
500                                               2                                                 500                                               9                                                 1.4423627838430046-5.1964020191212216E-8i         1.4423627838430046                                349.6                                             2.592286227421342E7
500                                               2                                                 500                                               9                                                 1.442755713431212-4.708366746954604E-9i           1.442755713431212                                 349.6                                             2.5929924200458784E7
500                                               2                                                 500                                               9                                                 1.455301276902948                                 1.455301276902948                                 349.6                                             2.615539931509237E7
500                                               2                                                 500                                               9                                                 1.4560042422842043                                1.4560042422842043                                349.6                                             2.6168033359013893E7
500                                               2                                                 500                                               10                                                1.4409935910239078-2.306700965389453E-7i          1.4409935910239078                                354                                               2.557635525102081E7
500                                               2                                                 500                                               10                                                1.4413926718918517-5.642175628368367E-8i          1.4413926718918517                                354                                               2.558343858165878E7
500                                               2                                                 500                                               10                                                1.4417816973641853-5.510286245924022E-9i          1.4417816973641853                                354                                               2.559034343796354E7
500                                               2                                                 500                                               10                                                1.4545523371614522                                1.4545523371614522                                354                                               2.5817010941741705E7
500                                               2                                                 500                                               10                                                1.4552813995921097                                1.4552813995921097                                354                                               2.582995115177652E7
500                                               2                                                 500                                               11                                                1.4400853347395826-2.467330451458985E-7i          1.4400853347395826                                358.3999999999999                                 2.524643698750151E7
500                                               2                                                 500                                               11                                                1.440495878828627-6.113699496769823E-8i           1.440495878828627                                 358.3999999999999                                 2.5253634321732074E7
500                                               2                                                 500                                               11                                                1.4408810618528833-6.418748511524131E-9i          1.4408810618528833                                358.3999999999999                                 2.526038704583526E7
500                                               2                                                 500                                               11                                                1.4538763765234533                                1.4538763765234533                                358.3999999999999                                 2.548821062340306E7
