% Model:              HY_Ge-backup.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 31 2024, 12:03
% Table:              Table 1 - All_Compacted
% height_substrate (nm)                           ratio                                             height_waveguide (nm)                             daddy                                             Effective mode index                              real(ewfd.neff) (1)                               Wavelength in free space (nm)                     Propagation constant (rad/m)
500                                               1                                                 500                                               1                                                 1.456393824682371-2.598684528618452E-7i           1.456393824682371                                 314.4                                             2.9105573411931794E7
500                                               1                                                 500                                               1                                                 1.4570272581079264-2.8076971398334602E-8i         1.4570272581079264                                314.4                                             2.9118232380101405E7
500                                               1                                                 500                                               1                                                 1.4569285083201584-5.319209567457494E-8i          1.4569285083201584                                314.4                                             2.9116258896591257E7
500                                               1                                                 500                                               1                                                 1.4595152935401188                                1.4595152935401188                                314.4                                             2.9167954987198394E7
500                                               1                                                 500                                               1                                                 1.4609443170289322-3.844440046862623E-16i         1.4609443170289322                                314.4                                             2.9196513573039766E7
500                                               1                                                 500                                               2                                                 1.4533423143250002-2.7796058731402735E-7i         1.4533423143250002                                318.8                                             2.864372357487207E7
500                                               1                                                 500                                               2                                                 1.4539934730287498-3.105195038428648E-8i          1.4539934730287498                                318.8                                             2.865655717211185E7
500                                               1                                                 500                                               2                                                 1.4538939270279572-5.800975268429933E-8i          1.4538939270279572                                318.8                                             2.865459523368786E7
500                                               1                                                 500                                               2                                                 1.4564973629919975                                1.4564973629919975                                318.8                                             2.87059059946585E7
500                                               1                                                 500                                               2                                                 1.457983180237452-4.689981397104885E-16i          1.457983180237452                                 318.8                                             2.8735189762179814E7
500                                               1                                                 500                                               3                                                 1.4507944759617792-2.966598530090125E-7i          1.4507944759617792                                323.19999999999993                                2.8204240517018434E7
500                                               1                                                 500                                               3                                                 1.4514635883464455-3.4187464325254765E-8i         1.4514635883464455                                323.19999999999993                                2.82172484288507E7
500                                               1                                                 500                                               3                                                 1.4513631845713129-6.304391752775875E-8i          1.4513631845713129                                323.19999999999993                                2.8215296524380714E7
500                                               1                                                 500                                               3                                                 1.4539820103525578                                1.4539820103525578                                323.19999999999993                                2.826620793425318E7
500                                               1                                                 500                                               3                                                 1.4555256813817847-5.328013843365703E-16i         1.4555256813817847                                323.19999999999993                                2.829621774591765E7
500                                               1                                                 500                                               4                                                 1.448649324296457-3.160127475511713E-7i           1.448649324296457                                 327.6                                             2.7784286171169512E7
500                                               1                                                 500                                               4                                                 1.4493366313423957-3.749281541051094E-8i          1.4493366313423957                                327.6                                             2.7797468337019827E7
500                                               1                                                 500                                               4                                                 1.4492353153979507-6.83086326019195E-8i           1.4492353153979507                                327.6                                             2.7795525153706275E7
500                                               1                                                 500                                               4                                                 1.4518682534174485                                1.4518682534174485                                327.6                                             2.7846023436608665E7
500                                               1                                                 500                                               4                                                 1.4534708890463541-7.28448410744347E-16i          1.4534708890463541                                327.6                                             2.7876761094228636E7
500                                               1                                                 500                                               5                                                 1.446825238230086-3.3606498350016065E-7i          1.446825238230086                                 331.99999999999994                                2.7381539394288797E7
500                                               1                                                 500                                               5                                                 1.4475309926940854-4.097783253663342E-8i          1.4475309926940854                                331.99999999999994                                2.7394895978863128E7
500                                               1                                                 500                                               5                                                 1.4474287160540984-7.381834330728715E-8i          1.4474287160540984                                331.99999999999994                                2.739296036717146E7
500                                               1                                                 500                                               5                                                 1.4500744696913117                                1.4500744696913117                                331.99999999999994                                2.7443031934580363E7
500                                               1                                                 500                                               5                                                 1.4517372230677548-9.07580948886313E-16i          1.4517372230677548                                331.99999999999994                                2.7474499969472922E7
500                                               1                                                 500                                               6                                                 1.4452562282001968-3.568614571939853E-7i          1.4452562282001968                                336.4                                             2.6994092443927657E7
500                                               1                                                 500                                               6                                                 1.4459806937198425-4.465270556814965E-8i          1.4459806937198425                                336.4                                             2.7007623808697563E7
500                                               1                                                 500                                               6                                                 1.445877412585259-7.958772395383087E-8i           1.445877412585259                                 336.4                                             2.7005694752492674E7
500                                               1                                                 500                                               6                                                 1.4485346650069921                                1.4485346650069921                                336.4                                             2.7055326171558373E7
500                                               1                                                 500                                               6                                                 1.4502587248762695-8.158203949853472E-16i         1.4502587248762695                                336.4                                             2.7087527680593275E7
500                                               1                                                 500                                               7                                                 1.4438889412607867-3.784461038514983E-7i          1.4438889412607867                                340.8                                             2.662036907549549E7
500                                               1                                                 500                                               7                                                 1.4446323914122776-4.852786246175655E-8i          1.4446323914122776                                340.8                                             2.6634075751165874E7
500                                               1                                                 500                                               7                                                 1.444528065727276-8.563155928691162E-8i           1.444528065727276                                 340.8                                             2.6632152342682417E7
500                                               1                                                 500                                               7                                                 1.4471954795368909-2.8703031986109066E-16i        1.4471954795368909                                340.8                                             2.6681330321722142E7
500                                               1                                                 500                                               7                                                 1.44898206484101-1.1542516620021553E-15i          1.44898206484101                                  340.8                                             2.6714268838543933E7
500                                               1                                                 500                                               8                                                 1.442680253239325-4.008619967071256E-7i           1.442680253239325                                 345.19999999999993                                2.625905958896713E7
500                                               1                                                 500                                               8                                                 1.4434429705859628-5.261388290079555E-8i          1.4434429705859628                                345.19999999999993                                2.6272942249528907E7
500                                               1                                                 500                                               8                                                 1.4433375632023953-9.196466948207322E-8i          1.4433375632023953                                345.19999999999993                                2.627102366863754E7
500                                               1                                                 500                                               8                                                 1.4460137806323423                                1.4460137806323423                                345.19999999999993                                2.6319735053442467E7
500                                               1                                                 500                                               8                                                 1.4478641361455087-1.3094260284874379E-15i        1.4478641361455087                                345.19999999999993                                2.63534144467605E7
500                                               1                                                 500                                               9                                                 1.4415953291752377-4.241513760628637E-7i          1.4415953291752377                                349.6                                             2.590906919671788E7
500                                               1                                                 500                                               9                                                 1.442271080310185-9.860186550500653E-8i           1.442271080310185                                 349.6                                             2.5921214132651553E7
500                                               1                                                 500                                               9                                                 1.4423776043343524-5.6921435244026937E-8i         1.4423776043343524                                349.6                                             2.5923128635464795E7
500                                               1                                                 500                                               9                                                 1.4449547237649905                                1.4449547237649905                                349.6                                             2.5969445909324728E7
500                                               1                                                 500                                               9                                                 1.4468701165393296-1.6616539865978184E-15i        1.4468701165393296                                349.6                                             2.6003870302165702E7
