% Model:              HY_Ge-backup.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 31 2024, 10:41
% Table:              Table 1 - All_Compacted
% height_substrate (nm)                           ratio                                             height_waveguide (nm)                             daddy                                             Effective mode index                              real(ewfd.neff) (1)                               Wavelength in free space (nm)                     Propagation constant (rad/m)
250                                               1                                                 500                                               1                                                 1.4080830150900685-7.994406099822984E-10i         1.4080830150900685                                314.4                                             2.814009704740156E7
250                                               1                                                 500                                               1                                                 1.408774864243145-4.3308669982168757E-11i         1.408774864243145                                 314.4                                             2.8153923435548488E7
250                                               1                                                 500                                               1                                                 1.4138419350605924                                1.4138419350605924                                314.4                                             2.8255187255238768E7
250                                               1                                                 500                                               1                                                 1.4451260504141428                                1.4451260504141428                                314.4                                             2.888039048023094E7
250                                               1                                                 500                                               1                                                 1.4460921608658437                                1.4460921608658437                                314.4                                             2.8899697894337937E7
250                                               1                                                 500                                               2                                                 1.4040617409863878-3.9316935049508315E-9i         1.4040617409863878                                318.8                                             2.7672459539958157E7
250                                               1                                                 500                                               2                                                 1.4047407160789729-1.386474076134263E-10i         1.4047407160789729                                318.8                                             2.7685841366575696E7
250                                               1                                                 500                                               2                                                 1.4096881002481854                                1.4096881002481854                                318.8                                             2.7783348680004083E7
250                                               1                                                 500                                               2                                                 1.4417566480289172                                1.4417566480289172                                318.8                                             2.8415383272972967E7
250                                               1                                                 500                                               2                                                 1.4427439933444743                                1.4427439933444743                                318.8                                             2.8434842725858226E7
250                                               1                                                 500                                               3                                                 1.400646739028847-5.365517770037487E-9i           1.400646739028847                                 323.19999999999993                                2.722934100004657E7
250                                               1                                                 500                                               3                                                 1.4012722406708225-2.7266724503303344E-10i        1.4012722406708225                                323.19999999999993                                2.7241501095116116E7
250                                               1                                                 500                                               3                                                 1.406037151038534                                 1.406037151038534                                 323.19999999999993                                2.7334133566689238E7
250                                               1                                                 500                                               3                                                 1.4388890615291343                                1.4388890615291343                                323.19999999999993                                2.797279272915E7
250                                               1                                                 500                                               3                                                 1.4398977340552839                                1.4398977340552839                                323.19999999999993                                2.7992401876415033E7
250                                               1                                                 500                                               4                                                 1.397634844561913-7.1802918930828444E-9i          1.397634844561913                                 327.6                                             2.6805856899125867E7
250                                               1                                                 500                                               4                                                 1.398230852915149-4.4575722918253177E-10i         1.398230852915149                                 327.6                                             2.6817288006964725E7
250                                               1                                                 500                                               4                                                 1.4027872732443958+1.5973685530089374E-16i        1.4027872732443958                                327.6                                             2.6904677607898965E7
250                                               1                                                 500                                               4                                                 1.436422039108856                                 1.436422039108856                                 327.6                                             2.7549773660066247E7
250                                               1                                                 500                                               4                                                 1.4374520814869578                                1.4374520814869578                                327.6                                             2.7569529298454106E7
250                                               1                                                 500                                               5                                                 1.394944187181628-9.471751799273233E-9i           1.394944187181628                                 331.99999999999994                                2.6399677172395106E7
250                                               1                                                 500                                               5                                                 1.3955216948577909-6.701795489326238E-10i         1.3955216948577909                                331.99999999999994                                2.6410606653556705E7
250                                               1                                                 500                                               5                                                 1.399856314277947-2.51769644314007E-16i           1.399856314277947                                 331.99999999999994                                2.6492640439860743E7
250                                               1                                                 500                                               5                                                 1.434273758818671                                 1.434273758818671                                 331.99999999999994                                2.7143999421333466E7
250                                               1                                                 500                                               5                                                 1.4353251612769429                                1.4353251612769429                                331.99999999999994                                2.716389748301343E7
250                                               1                                                 500                                               6                                                 1.3925089388320397-1.2344010718129155E-8i         1.3925089388320397                                336.4                                             2.6008893295439087E7
250                                               1                                                 500                                               6                                                 1.3930739152972096-9.612214483694338E-10i         1.3930739152972096                                336.4                                             2.6019445768164586E7
250                                               1                                                 500                                               6                                                 1.3971780155240319-4.029837437647679E-16i         1.3971780155240319                                336.4                                             2.6096101006703116E7
250                                               1                                                 500                                               6                                                 1.4323780824454493                                1.4323780824454493                                336.4                                             2.6753558031948026E7
250                                               1                                                 500                                               6                                                 1.4334507817750288                                1.4334507817750288                                336.4                                             2.6773593610624116E7
