% Model:              HY_Ge-backup.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 29 2024, 15:11
% Table:              Table 1 - Eval_German
% daddy                                           Effective mode index                              real(ewfd.neff) (1)                               Wavelength in free space (nm)                     Propagation constant (rad/m)
14                                                1.445845804512115-5.877589965933734E-16i          1.445845804512115                                 371.6                                             2.4447032065010134E7
14                                                1.446850868476088-5.24790276401173E-14i           1.446850868476088                                 371.6                                             2.446402615309197E7
14                                                1.455517283001431                                 1.455517283001431                                 371.6                                             2.4610561913080033E7
14                                                1.4566770388770207                                1.4566770388770207                                371.6                                             2.4630171603815828E7
15                                                1.433085127370146-3.249696608415911E-8i           1.433085127370146                                 376                                               2.3947711213376824E7
15                                                1.4451640546642497-7.341555776605879E-16i         1.4451640546642497                                376                                               2.4149557326410875E7
15                                                1.4462042234087655-6.098413619582885E-14i         1.4462042234087655                                376                                               2.416693916942292E7
15                                                1.4550523401172015                                1.4550523401172015                                376                                               2.4314796501600195E7
15                                                1.4562507306601924                                1.4562507306601924                                376                                               2.433482232567462E7
16                                                1.4322107940665427-3.7904410025620707E-8i         1.4322107940665427                                380.3999999999999                                 2.365627186662174E7
16                                                1.4444923296519856-8.624532096091495E-16i         1.4444923296519856                                380.3999999999999                                 2.3859129815990977E7
16                                                1.4455683827420776-7.082178190575076E-14i         1.4455683827420776                                380.3999999999999                                 2.387690332010615E7
16                                                1.4545994602002794                                1.4545994602002794                                380.3999999999999                                 2.4026072439962547E7
16                                                1.455837255722401                                 1.455837255722401                                 380.3999999999999                                 2.404651749421567E7
17                                                1.4313416684860538-4.410938182402213E-8i          1.4313416684860538                                384.8                                             2.3371582486968517E7
17                                                1.4438247800284412-8.878538825752781E-16i         1.4438247800284412                                384.8                                             2.357541227655015E7
17                                                1.4449375080531746-8.2064476780798E-14i           1.4449375080531746                                384.8                                             2.3593581393951118E7
17                                                1.4541528091229248                                1.4541528091229248                                384.8                                             2.3744052922752287E7
17                                                1.4554307869400978                                1.4554307869400978                                384.8                                             2.3764920312159155E7
18                                                1.4304732753174079-5.121313106444969E-8i          1.4304732753174079                                389.2                                             2.3093341895651065E7
18                                                1.4431568343159136-9.92729776095693E-16i          1.4431568343159136                                389.2                                             2.3298103333323613E7
18                                                1.444307038482936-9.508557947817073E-14i          1.444307038482936                                 389.2                                             2.3316672053576674E7
18                                                1.4537078263989462                                1.4537078263989462                                389.2                                             2.346843693669535E7
18                                                1.4550267703579387                                1.4550267703579387                                389.2                                             2.3489729766356535E7
19                                                1.4296021781622954-5.932661455658604E-8i          1.4296021781622954                                393.59999999999997                                2.2821278965806063E7
19                                                1.4424849570785538-1.175265997947524E-15i         1.4424849570785538                                393.59999999999997                                2.3026931626380958E7
19                                                1.4436734488667036-1.1013883875996905E-13i        1.4436734488667036                                393.59999999999997                                2.304590396921888E7
19                                                1.4532609839465027                                1.4532609839465027                                393.59999999999997                                2.319895340912097E7
19                                                1.4546216840104154                                1.4546216840104154                                393.59999999999997                                2.3220674777639907E7
20                                                1.4287257812651393-6.85708860888903E-8i           1.4287257812651393                                398                                               2.2555147831240695E7
20                                                1.4418064514094366-1.3000157146250469E-15i        1.4418064514094366                                398                                               2.2761651033398263E7
20                                                1.4430340522706275-1.2742584906290602E-13i        1.4430340522706275                                398                                               2.278103104267996E7
20                                                1.45280958915557                                  1.45280958915557                                  398                                               2.2935356443999715E7
20                                                1.4542128410387585                                1.4542128410387585                                398                                               2.2957509438006554E7
21                                                1.4278421675360409-7.90774060901312E-8i           1.4278421675360409                                402.4                                             2.22947239762274E7
21                                                1.4411192976203582-1.475066861979148E-15i         1.4411192976203582                                402.4                                             2.250203677112624E7
21                                                1.4423868387230758-1.471863236087025E-13i         1.4423868387230758                                402.4                                             2.2521828509776443E7
21                                                1.452351624065725                                 1.452351624065725                                 402.4                                             2.2677421434364248E7
21                                                1.4537982289099864                                1.4537982289099864                                402.4                                             2.2700009123983428E7
22                                                1.4269499661796474-9.098824760464195E-8i          1.4269499661796474                                406.79999999999995                                2.203980103633325E7
22                                                1.4404220214683108-1.608773814234848E-15i         1.4404220214683108                                406.79999999999995                                2.2247882206065897E7
22                                                1.4417303434774407-1.6999418066395438E-13i        1.4417303434774407                                406.79999999999995                                2.2268089751849636E7
22                                                1.4518856140049812                                1.4518856140049812                                406.79999999999995                                2.2424941882058773E7
22                                                1.4533763780917244                                1.4533763780917244                                406.79999999999995                                2.2447967317177493E7
23                                                1.426048244515802-1.0445619543101523E-7i          1.426048244515802                                 411.19999999999993                                2.1790188174297005E7
23                                                1.4397135865142965-1.8140781981213246E-15i        1.4397135865142965                                411.19999999999993                                2.199899623865139E7
23                                                1.4410635394021247-1.9609559992016513E-13i        1.4410635394021247                                411.19999999999993                                2.2019623680650875E7
23                                                1.4514105202963414                                1.4514105202963414                                411.19999999999993                                2.2177726789425705E7
23                                                1.452946254789423                                 1.452946254789423                                 411.19999999999993                                2.2201192996630613E7
24                                                1.4251364195882459-1.1964472762610142E-7i         1.4251364195882459                                415.59999999999997                                2.1545707921759833E7
24                                                1.4389933062182807-2.1190321260211024E-15i        1.4389933062182807                                415.59999999999997                                2.1755201151974194E7
24                                                1.4403857491016818-2.261851541163691E-13i         1.4403857491016818                                415.59999999999997                                2.1776252587648094E7
24                                                1.4509256526451697                                1.4509256526451697                                415.59999999999997                                2.19355985142206E7
24                                                1.4525071733591306                                1.4525071733591306                                415.59999999999997                                2.1959508494280655E7
25                                                1.4242141859590765-1.3672786997474284E-7i         1.4242141859590765                                419.99999999999994                                2.130619439879715E7
25                                                1.4382607721801053-2.2850131529994774E-15i        1.4382607721801053                                419.99999999999994                                2.151633083727334E7
25                                                1.4396965731808515-2.6063099015278204E-13i        1.4396965731808515                                419.99999999999994                                2.1537810370016016E7
25                                                1.4504305976278764                                1.4504305976278764                                419.99999999999994                                2.1698391000236142E7
25                                                1.4520587248186596                                1.4520587248186596                                419.99999999999994                                2.1722747726053637E7
26                                                1.4232814567649892-1.5588991480213513E-7i         1.4232814567649892                                424.3999999999999                                 2.107149184054415E7
26                                                1.4375157956058624-2.597994687447269E-15i         1.4375157956058624                                424.3999999999999                                 2.1282229325611044E7
26                                                1.4389958317310367-3.0008246216267533E-13i        1.4389958317310367                                424.3999999999999                                 2.1304141062735904E7
26                                                1.4499251603677867                                1.4499251603677867                                424.3999999999999                                 2.146594831322545E7
26                                                1.4516007185429476-1.6158291312936772E-16i        1.4516007185429476                                424.3999999999999                                 2.149075472818185E7
27                                                1.4223383156496663-1.7732500630207588E-7i         1.4223383156496663                                428.79999999999995                                2.0841453373900518E7
27                                                1.4367583596154418-2.8741126599424553E-15i        1.4367583596154418                                428.79999999999995                                2.1052749568804074E7
27                                                1.438283516654784-3.453387797798367E-13i          1.438283516654784                                 428.79999999999995                                2.1075097619878553E7
27                                                1.449409317018967                                 1.449409317018967                                 428.79999999999995                                2.1238123425332956E7
27                                                1.4511331347640684-1.6953734364884565E-16i        1.4511331347640684                                428.79999999999995                                2.1263382441956732E7
28                                                1.4213849776120298-2.0123658875815442E-7i         1.4213849776120298                                433.2                                             2.0615939998101775E7
28                                                1.435988580435724-3.235269941603947E-15i          1.435988580435724                                 433.2                                             2.0827752423525877E7
28                                                1.4375597528737525-3.970835746542191E-13i         1.4375597528737525                                433.2                                             2.0850540899005253E7
28                                                1.4488831761085503                                1.4488831761085503                                433.2                                             2.1014777202088952E7
28                                                1.4506560859276465-2.284544705395883E-16i         1.4506560859276465                                433.2                                             2.104049170099546E7
29                                                1.4204217571688904-2.2783670926715555E-7i         1.4204217571688904                                437.6000000000001                                 2.039481973181394E7
29                                                1.4352066758800726-3.7733921385071036E-15i        1.4352066758800726                                437.6000000000001                                 2.0607105801315643E7
