% Model:              HY_Ge-backup.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 29 2024, 16:29
% Table:              Table 1 - Global Evaluation 1
% daddy                                           Effective mode index                              real(ewfd.neff) (1)                               Wavelength in free space (nm)                     Propagation constant (rad/m)
10                                                1.4427150722979911-1.3623154516299331E-8i         1.4427150722979911                                354                                               2.560691001330303E7
10                                                1.4537614004269785-3.7548206139400277E-16i        1.4537614004269785                                354                                               2.580297251781811E7
10                                                1.4546312043361054-2.6665563509625345E-14i        1.4546312043361054                                354                                               2.581841076398182E7
10                                                1.4625649225527158                                1.4625649225527158                                354                                               2.5959227209546532E7
10                                                1.4635757509545835                                1.4635757509545835                                354                                               2.597716851509087E7
11                                                1.4412708307252866-1.618085963267516E-8i          1.4412708307252866                                358.3999999999999                                 2.5267220165400773E7
11                                                1.4525248327508151-4.686922335071731E-16i         1.4525248327508151                                358.3999999999999                                 2.5464516427046336E7
11                                                1.4534268807489188-3.13632430268578E-14i          1.4534268807489188                                358.3999999999999                                 2.54803304190331E7
11                                                1.4615386949556055                                1.4615386949556055                                358.3999999999999                                 2.5622540329295445E7
11                                                1.462585290097902                                 1.462585290097902                                 358.3999999999999                                 2.5640888407478042E7
12                                                1.439848858309003-1.9172913995456563E-8i          1.439848858309003                                 362.8                                             2.493615543298354E7
12                                                1.4513098702319034-4.3397635460904736E-16i        1.4513098702319034                                362.8                                             2.5134644026476864E7
12                                                1.4522449200898033-3.675405478322184E-14i         1.4522449200898033                                362.8                                             2.5150837773799457E7
12                                                1.4605361894665887                                1.4605361894665887                                362.8                                             2.529443088825945E7
12                                                1.4616193067474292                                1.4616193067474292                                362.8                                             2.531318895492133E7
13                                                1.438448457070464-2.2663510804173348E-8i          1.438448457070464                                 367.2                                             2.4613393819717553E7
13                                                1.45011571130947-5.578308611663407E-16i           1.45011571130947                                  367.2                                             2.4813033036519434E7
13                                                1.4510845287141894-4.309762024118044E-14i         1.4510845287141894                                367.2                                             2.482961054001255E7
13                                                1.4595565927946146                                1.4595565927946146                                367.2                                             2.4974576630839378E7
13                                                1.460676992278313                                 1.460676992278313                                 367.2                                             2.4993747866063084E7
14                                                1.4370676135443867-2.6724901925164243E-8i         1.4370676135443867                                371.6                                             2.4298606337044455E7
14                                                1.4489402401093494-6.284790889102799E-16i         1.4489402401093494                                371.6                                             2.449935421861228E7
14                                                1.449943599400542-5.043024443304108E-14i          1.449943599400542                                 371.6                                             2.4516319483295392E7
14                                                1.4585977835052226                                1.4585977835052226                                371.6                                             2.4662648445653185E7
14                                                1.459756230421998                                 1.459756230421998                                 371.6                                             2.4682236003905687E7
15                                                1.4357055424332532-3.14372855911952E-8i           1.4357055424332532                                376                                               2.3991499919289663E7
15                                                1.4477825671967757-7.458336939293305E-16i         1.4477825671967757                                376                                               2.4193314239897665E7
15                                                1.4488212507652323-5.893275847204089E-14i         1.4488212507652323                                376                                               2.4210671264727812E7
15                                                1.4576588616406059                                1.4576588616406059                                376                                               2.4358353038139295E7
15                                                1.458856125830132                                 1.458856125830132                                 376                                               2.4378360040172387E7
16                                                1.434361612800919-3.688956497976943E-8i           1.434361612800919                                 380.3999999999999                                 2.3691797609708592E7
16                                                1.446641957467229-8.043173582989011E-16i          1.446641957467229                                 380.3999999999999                                 2.38946358882955E7
16                                                1.4477167556871695-6.882429197341485E-14i         1.4477167556871695                                380.3999999999999                                 2.391238866532945E7
16                                                1.4567390811377618                                1.4567390811377618                                380.3999999999999                                 2.4061413225549623E7
16                                                1.4579759369242762                                1.4579759369242762                                380.3999999999999                                 2.408184275789696E7
17                                                1.433033885346005-4.318055997111422E-8i           1.433033885346005                                 384.8                                             2.3399213755448263E7
17                                                1.4455163682602845-9.036252771987422E-16i         1.4455163682602845                                384.8                                             2.360303328051095E7
17                                                1.4466280802913392-8.028218702211647E-14i         1.4466280802913392                                384.8                                             2.362118580831588E7
17                                                1.4558363948032225                                1.4558363948032225                                384.8                                             2.3771543257497154E7
