% Model:              HY_Ge.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 8 2024, 22:32
% Table:              Table 4 - 20240708NEWREDO
% daddy                                           Effective mode index                              Eigenvalue                                        real(ewfd.neff) (1)                               Frequency (Hz)
4                                                 1.496902298883555                                 -1.95944052721427E7i                              1.496902298883555                                 6.245676208333332E14
5                                                 1.4929255573187539                                -1.9241698310683258E7i                            1.4929255573187539                                6.149588882051282E14
5                                                 1.4931530207060173                                -1.9244629991940234E7i                            1.4931530207060173                                6.149588882051282E14
5                                                 1.4932051235323978                                -1.924530152365957E7i                             1.4932051235323978                                6.149588882051282E14
5                                                 1.4963852486650842                                -1.9286288837523542E7i                            1.4963852486650842                                6.149588882051282E14
5                                                 1.4964050935112079                                -1.9286544609514493E7i                            1.4964050935112079                                6.149588882051282E14
6                                                 1.4923207360192903                                -1.8942480246779453E7i                            1.4923207360192903                                6.056413292929292E14
6                                                 1.4925594632951655                                -1.8945510484581884E7i                            1.4925594632951655                                6.056413292929292E14
6                                                 1.4926136386113624                                -1.8946198148320753E7i                            1.4926136386113624                                6.056413292929292E14
6                                                 1.4958847538602722                                -1.8987719407452147E7i                            1.4958847538602722                                6.056413292929292E14
6                                                 1.495905581772715                                 -1.8987983782469198E7i                            1.495905581772715                                 6.056413292929292E14
7                                                 1.4917133224984347                                -1.8652161652629267E7i                            1.4917133224984347                                5.966019064676616E14
7                                                 1.4919636510222123                                -1.865529172328114E7i                             1.4919636510222123                                5.966019064676616E14
7                                                 1.4920199440270012                                -1.8655995602645494E7i                            1.4920199440270012                                5.966019064676616E14
7                                                 1.4953831271987663                                -1.869804834511353E7i                             1.4953831271987663                                5.966019064676616E14
7                                                 1.4954049701492982                                -1.869832146612019E7i                             1.4954049701492982                                5.966019064676616E14
8                                                 1.4911049139051393                                -1.837036958139618E7i                             1.4911049139051393                                5.878283490196079E14
8                                                 1.4913671959970083                                -1.8373600889211804E7i                            1.4913671959970083                                5.878283490196079E14
8                                                 1.4914256506947385                                -1.8374321049403794E7i                            1.4914256506947385                                5.878283490196079E14
8                                                 1.4948819580721997                                -1.8416902656719793E7i                            1.4948819580721997                                5.878283490196079E14
8                                                 1.4949048487790186                                -1.8417184669568334E7i                            1.4949048487790186                                5.878283490196079E14
9                                                 1.4904970519059526                                -1.809675203271492E7i                             1.4904970519059526                                5.79309097584541E14
9                                                 1.490771637604981                                 -1.8100085893255398E7i                            1.490771637604981                                 5.79309097584541E14
9                                                 1.4908322984248865                                -1.8100822401801005E7i                            1.4908322984248865                                5.79309097584541E14
9                                                 1.4943827806120484                                -1.814393030037449E7i                             1.4943827806120484                                5.79309097584541E14
9                                                 1.4944067521504762                                -1.8144221348911766E7i                            1.4944067521504762                                5.79309097584541E14
10                                                1.4898901484241238                                -1.7830963599790603E7i                            1.4898901484241238                                5.710332533333332E14
10                                                1.4901773964811007                                -1.7834401376497485E7i                            1.4901773964811007                                5.710332533333332E14
10                                                1.490240307268642                                 -1.7835154291042138E7i                            1.490240307268642                                 5.710332533333332E14
10                                                1.4938860011527635                                -1.787878585341773E7i                             1.4938860011527635                                5.710332533333332E14
10                                                1.4939110872081487                                -1.7879086082626514E7i                            1.4939110872081487                                5.710332533333332E14
11                                                1.4892864496095355                                -1.7572699978156403E7i                            1.4892864496095355                                5.629905314553991E14
11                                                1.4895867191533227                                -1.757624298132207E7i                             1.4895867191533227                                5.629905314553991E14
11                                                1.489651923807362                                 -1.757701235770558E7i                             1.489651923807362                                 5.629905314553991E14
11                                                1.4933938559927586                                -1.762116494611449E7i                             1.4933938559927586                                5.629905314553991E14
11                                                1.4934200906560429                                -1.7621474499637283E7i                            1.4934200906560429                                5.629905314553991E14
12                                                1.4886847031334896                                -1.7321633062502492E7i                            1.4886847031334896                                5.551712185185185E14
12                                                1.488998376287329                                 -1.7325282815375566E7i                            1.488998376287329                                 5.551712185185185E14
12                                                1.489065916789364                                 -1.732606868480154E7i                             1.489065916789364                                 5.551712185185185E14
12                                                1.4929050903057473                                -1.7370739497079045E7i                            1.4929050903057473                                5.551712185185185E14
12                                                1.4929325086107907                                -1.7371058523544595E7i                            1.4929325086107907                                5.551712185185185E14
13                                                1.488086050675742                                 -1.70774801998625E7i                              1.488086050675742                                 5.475661333333333E14
13                                                1.4884135001106809                                -1.7081238054617662E7i                            1.4884135001106809                                5.475661333333333E14
13                                                1.4884834194793044                                -1.708204045890921E7i                             1.4884834194793044                                5.475661333333333E14
13                                                1.492420838483002                                 -1.7127226820977233E7i                            1.492420838483002                                 5.475661333333333E14
13                                                1.4924494756516928                                -1.7127555465064097E7i                            1.4924494756516928                                5.475661333333333E14
14                                                1.4874921308844071                                -1.68399796420147E7i                              1.4874921308844071                                5.4016659099099094E14
14                                                1.4878337239910502                                -1.6843846836228564E7i                            1.4878337239910502                                5.4016659099099094E14
14                                                1.4879060658154193                                -1.6844665821972653E7i                            1.4879060658154193                                5.4016659099099094E14
14                                                1.4919427301930415                                -1.689036511982399E7i                             1.4919427301930415                                5.4016659099099094E14
14                                                1.4919726217202378                                -1.6890703523435682E7i                            1.4919726217202378                                5.4016659099099094E14
15                                                1.4869012170247764                                -1.660884600895559E7i                             1.4869012170247764                                5.3296436977777775E14
15                                                1.4872573585460065                                -1.6612824147930646E7i                            1.4872573585460065                                5.3296436977777775E14
15                                                1.4873321630337473                                -1.6613659722078707E7i                            1.4873321630337473                                5.3296436977777775E14
15                                                1.491469036883359                                 -1.665986904650455E7i                             1.491469036883359                                 5.3296436977777775E14
15                                                1.4915002195353442                                -1.6660217360070402E7i                            1.4915002195353442                                5.3296436977777775E14
16                                                1.486315657169781                                 -1.6383853857824804E7i                            1.486315657169781                                 5.259516807017543E14
16                                                1.4866867416164151                                -1.6387944370706934E7i                            1.4866867416164151                                5.259516807017543E14
16                                                1.4867640499017343                                -1.6388796550149813E7i                            1.4867640499017343                                5.259516807017543E14
16                                                1.491002095626663                                 -1.6435513088097228E7i                            1.491002095626663                                 5.259516807017543E14
16                                                1.4910346063201483                                -1.643587145776676E7i                             1.4910346063201483                                5.259516807017543E14
17                                                1.48573362946332                                  -1.616474408835763E7i                             1.48573362946332                                  5.191211393939393E14
17                                                1.4861200563491086                                -1.6168948403043492E7i                            1.4861200563491086                                5.191211393939393E14
17                                                1.486199909345156                                 -1.6169817201608855E7i                            1.486199909345156                                 5.191211393939393E14
17                                                1.490540084027586                                 -1.6217038191730479E7i                            1.490540084027586                                 5.191211393939393E14
17                                                1.4905739602125527                                -1.6217406763761036E7i                            1.4905739602125527                                5.191211393939393E14
18                                                1.4851573377255787                                -1.5951314125209069E7i                            1.4851573377255787                                5.124657401709402E14
18                                                1.4855595120332317                                -1.5955633673415514E7i                            1.4855595120332317                                5.124657401709402E14
18                                                1.4856419499854554                                -1.5956519097227763E7i                            1.4856419499854554                                5.124657401709402E14
18                                                1.4900851943924096                                -1.6004241709149102E7i                            1.4900851943924096                                5.124657401709402E14
18                                                1.4901204740216325                                -1.6004620629572991E7i                            1.4901204740216325                                5.124657401709402E14
19                                                1.4845864379052187                                -1.5743344631028097E7i                            1.4845864379052187                                5.059788320675105E14
19                                                1.4850047666200752                                -1.5747780811339926E7i                            1.4850047666200752                                5.059788320675105E14
19                                                1.4850898296681714                                -1.574868286516943E7i                             1.4850898296681714                                5.059788320675105E14
19                                                1.4896370780491632                                -1.579690430688343E7i                             1.4896370780491632                                5.059788320675105E14
19                                                1.4896737995206506                                -1.5797293720908927E7i                            1.4896737995206506                                5.059788320675105E14
20                                                1.4840194539348717                                -1.5540615380887095E7i                            1.4840194539348717                                4.996540966666666E14
20                                                1.4844543787943343                                -1.5545169903364932E7i                            1.4844543787943343                                4.996540966666666E14
20                                                1.4845421037606452                                -1.5546088557063928E7i                            1.4845421037606452                                4.996540966666666E14
20                                                1.4891942566653302                                -1.5594805788359711E7i                            1.4891942566653302                                4.996540966666666E14
20                                                1.4892324595863                                   -1.5595205848412592E7i                            1.4892324595863                                   4.996540966666666E14
21                                                1.4834580205024321                                -1.5342949198746659E7i                            1.4834580205024321                                4.9348552757201644E14
21                                                1.483909955253722                                 -1.5347623420621734E7i                            1.483909955253722                                 4.9348552757201644E14
21                                                1.4840003816379357                                -1.5348558672850002E7i                            1.4840003816379357                                4.9348552757201644E14
21                                                1.4887583556150552                                -1.5397768931590712E7i                            1.4887583556150552                                4.9348552757201644E14
21                                                1.4887980793242601                                -1.53981797816747E7i                              1.4887980793242601                                4.9348552757201644E14
22                                                1.4829018245356447                                -1.5150157651889697E7i                            1.4829018245356447                                4.874674113821138E14
22                                                1.4833712087625053                                -1.5154953144698856E7i                            1.4833712087625053                                4.874674113821138E14
22                                                1.4834643734728485                                -1.5155904967689386E7i                            1.4834643734728485                                4.874674113821138E14
22                                                1.4883290563442129                                -1.5205605299301492E7i                            1.4883290563442129                                4.874674113821138E14
22                                                1.488370341167862                                 -1.520602708824029E7i                             1.488370341167862                                 4.874674113821138E14
23                                                1.4823508009074937                                -1.4962063891321855E7i                            1.4823508009074937                                4.8159431004016056E14
23                                                1.482838064199219                                 -1.4966982068920724E7i                            1.482838064199219                                 4.8159431004016056E14
23                                                1.4829340051492907                                -1.496795044605783E7i                             1.4829340051492907                                4.8159431004016056E14
23                                                1.4879062886854943                                -1.5018138042616554E7i                            1.4879062886854943                                4.8159431004016056E14
23                                                1.487949175106585                                 -1.5018570915437235E7i                            1.487949175106585                                 4.8159431004016056E14
24                                                1.481804694044754                                 -1.4778497590050383E7i                            1.481804694044754                                 4.7586104444444444E14
24                                                1.4823102952325309                                -1.4783540107438212E7i                            1.4823102952325309                                4.7586104444444444E14
24                                                1.4824090473272775                                -1.4784524992693394E7i                            1.4824090473272775                                4.7586104444444444E14
24                                                1.4874897913168157                                -1.4835196827589598E7i                            1.4874897913168157                                4.7586104444444444E14
24                                                1.487534320881228                                 -1.4835640934740152E7i                            1.487534320881228                                 4.7586104444444444E14
25                                                1.48126318186351                                  -1.459929578094257E7i                             1.48126318186351                                  4.7026267921568625E14
25                                                1.4817875819547133                                -1.4604464256155325E7i                            1.4817875819547133                                4.7026267921568625E14
25                                                1.4818891798417257                                -1.4605465602588136E7i                            1.4818891798417257                                4.7026267921568625E14
25                                                1.4870792375581028                                -1.4656618691822575E7i                            1.4870792375581028                                4.7026267921568625E14
25                                                1.4871254522486062                                -1.465707418274704E7i                             1.4871254522486062                                4.7026267921568625E14
