% Model:              HY_Ge.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 8 2024, 10:34
% Table:              Table 1 - Global Evaluation 2
% daddy (m)                                       Effective mode index                              Eigenvalue                                        real(ewfd.neff) (1)                               Frequency (Hz)
4.16E-7                                           1.492617652884399+4.091064101017487E-14i          6.179065829385321E-7-2.2544214677500326E7i        1.492617652884399                                 7.206549471153846E14
4.16E-7                                           1.493105505658363                                 -2.2551583113513395E7i                            1.493105505658363                                 7.206549471153846E14
4.16E-7                                           1.4931162993248528                                -2.255174613901027E7i                             1.4931162993248528                                7.206549471153846E14
4.16E-7                                           1.4934013874476046                                -2.2556052056087494E7i                            1.4934013874476046                                7.206549471153846E14
4.16E-7                                           1.4934154099681174                                -2.2556263849584743E7i                            1.4934154099681174                                7.206549471153846E14
4.1800000000000006E-7                             1.4926020232563944+9.861321693264305E-15i         1.482308889294009E-7-2.2436112684189226E7i        1.4926020232563944                                7.17206837320574E14
4.1800000000000006E-7                             1.4930945224740784                                -2.2443515707749873E7i                            1.4930945224740784                                7.17206837320574E14
4.1800000000000006E-7                             1.493105458404457                                 -2.2443680091666322E7i                            1.493105458404457                                 7.17206837320574E14
4.1800000000000006E-7                             1.4933932294573127                                -2.2448005734850854E7i                            1.4933932294573127                                7.17206837320574E14
4.1800000000000006E-7                             1.4934074407890483                                -2.2448219353106253E7i                            1.4934074407890483                                7.17206837320574E14
4.2000000000000006E-7                             1.4925863262984416+9.346014065383642E-15i         1.398160434674101E-7-2.232903922641791E7i         1.4925863262984416                                7.137915666666666E14
4.2000000000000006E-7                             1.493083493586044                                 -2.2336476831648085E7i                            1.493083493586044                                 7.137915666666666E14
4.2000000000000006E-7                             1.49309457288174                                  -2.233664257752411E7i                             1.49309457288174                                  7.137915666666666E14
4.2000000000000006E-7                             1.4933850389391863                                -2.234098793958216E7i                             1.4933850389391863                                7.137915666666666E14
4.2000000000000006E-7                             1.4933994406232742                                -2.2341203388272304E7i                            1.4933994406232742                                7.137915666666666E14
4.2200000000000005E-7                             1.4925705620745702+7.582089406487597E-15i         1.1289021980228638E-7-2.2222979681411646E7i       1.4925705620745702                                7.104086682464454E14
4.2200000000000005E-7                             1.4930724190543394                                -2.2230451862458073E7i                            1.4930724190543394                                7.104086682464454E14
4.2200000000000005E-7                             1.493083642818604                                 -2.2230618973810486E7i                            1.493083642818604                                 7.104086682464454E14
4.2200000000000005E-7                             1.4933768159498475                                -2.22349840475325E7i                              1.4933768159498475                                7.104086682464454E14
4.2200000000000005E-7                             1.493391409531233                                 -2.2235201332310084E7i                            1.493391409531233                                 7.104086682464454E14
4.2400000000000004E-7                             1.4925547306486782+5.2157568636619025E-15i        7.729143134806968E-8-2.2117919702295184E7i        1.4925547306486782                                7.070576839622641E14
4.2400000000000004E-7                             1.4930612989389667                                -2.2125426453329675E7i                            1.4930612989389667                                7.070576839622641E14
4.2400000000000004E-7                             1.4930726682768491                                -2.2125594933652166E7i                            1.4930726682768491                                7.070576839622641E14
4.2400000000000004E-7                             1.4933685605458407                                -2.2129979711852722E7i                            1.4933685605458407                                7.070576839622641E14
4.2400000000000004E-7                             1.4933833475732594                                -2.2130198838346623E7i                            1.4933833475732594                                7.070576839622641E14
4.2600000000000003E-7                             1.4925388320846507+1.9291601870751333E-15i        2.8453687658747175E-8-2.201384521161797E7i        1.4925388320846507                                7.037381643192488E14
4.2600000000000003E-7                             1.4930501332998527                                -2.2021386526836045E7i                            1.4930501332998527                                7.037381643192488E14
4.2600000000000003E-7                             1.4930616493181719                                -2.202155637959919E7i                             1.4930616493181719                                7.037381643192488E14
4.2600000000000003E-7                             1.4933602727836355-1.6947308008283265E-16i        -2.4996027388237634E-9-2.2025960855116986E7i      1.4933602727836355                                7.037381643192488E14
4.2600000000000003E-7                             1.4933752548095809                                -2.2026181828932226E7i                            1.4933752548095809                                7.037381643192488E14
4.28E-7                                           1.4925228664461139-4.3175530516347245E-15i        -6.338314461915813E-8-2.1910742395055562E7i       1.4925228664461139                                7.00449668224299E14
4.28E-7                                           1.493038922196844                                 -2.191831826867863E7i                             1.493038922196844                                 7.00449668224299E14
4.28E-7                                           1.493050586004162                                 -2.1918489497329954E7i                            1.493050586004162                                 7.00449668224299E14
4.28E-7                                           1.4933519527196248                                -2.192291366302778E7i                             1.4933519527196248                                7.00449668224299E14
4.28E-7                                           1.4933671313003267                                -2.1923136489745654E7i                            1.4933671313003267                                7.00449668224299E14
4.3E-7                                            1.4925068337967533-4.0390387277955216E-15i        -5.901867160375383E-8-2.180859769529508E7i        1.4925068337967533                                6.971917627906976E14
4.3E-7                                            1.4930276656897128                                -2.1816208121567994E7i                            1.4930276656897128                                6.971917627906976E14
4.3E-7                                            1.4930394783963086                                -2.1816380729531996E7i                            1.4930394783963086                                6.971917627906976E14
4.3E-7                                            1.493343600410123                                 -2.182082457829662E7i                             1.493343600410123                                 6.971917627906976E14
4.3E-7                                            1.4933589771055122                                -2.182104926347463E7i                             1.4933589771055122                                6.971917627906976E14
4.3200000000000006E-7                             1.4924907342000233+2.461896681033826E-15i         3.580683577330074E-8-2.1707397806081615E7i        1.4924907342000233                                6.93964023148148E14
4.3200000000000006E-7                             1.4930163638381533                                -2.171504277927448E7i                             1.4930163638381533                                6.93964023148148E14
4.3200000000000006E-7                             1.4930283265559954                                -2.171521676995267E7i                             1.4930283265559954                                6.93964023148148E14
4.3200000000000006E-7                             1.4933352159113682                                -2.171968029469482E7i                             1.4933352159113682                                6.93964023148148E14
4.3200000000000006E-7                             1.493350792285055                                 -2.1719906843866784E7i                            1.493350792285055                                 6.93964023148148E14
4.3400000000000005E-7                             1.4924745677193547+6.61553704325097E-15i          9.577568006741191E-8-2.1607129666436527E7i        1.4924745677193547                                6.907660322580645E14
4.3400000000000005E-7                             1.4930050167017817                                -2.1614809180843424E7i                            1.4930050167017817                                6.907660322580645E14
4.3400000000000005E-7                             1.4930171305445017                                -2.161498455761437E7i                             1.4930171305445017                                6.907660322580645E14
4.3400000000000005E-7                             1.4933267992795234                                -2.1619467751268707E7i                            1.4933267992795234                                6.907660322580645E14
4.3400000000000005E-7                             1.4933425768987656                                -2.1619696169944756E7i                            1.4933425768987656                                6.907660322580645E14
4.3600000000000004E-7                             1.4924583344180564+3.5061618628189276E-15i        5.0527212617103876E-8-2.1507780455030385E7i       1.4924583344180564                                6.875973807339449E14
4.3600000000000004E-7                             1.4929936243401403                                -2.151549450496965E7i                             1.4929936243401403                                6.875973807339449E14
4.3600000000000004E-7                             1.4930058904230066                                -2.151567127118901E7i                             1.4930058904230066                                6.875973807339449E14
4.3600000000000004E-7                             1.4933183505706744                                -2.1520174126714025E7i                            1.4933183505706744                                6.875973807339449E14
4.3600000000000004E-7                             1.4933343310063534                                -2.1520404420380678E7i                            1.4933343310063534                                6.875973807339449E14
4.3800000000000003E-7                             1.4924420343592983+1.1801706807371562E-14i        1.6929751326876323E-7-2.140933758471131E7i        1.4924420343592983                                6.844576666666666E14
4.3800000000000003E-7                             1.4929821868126911                                -2.1417086164525907E7i                            1.4929821868126911                                6.844576666666666E14
4.3800000000000003E-7                             1.4929946062525838                                -2.1417264323526494E7i                            1.4929946062525838                                6.844576666666666E14
4.3800000000000003E-7                             1.4933098698408311                                -2.1421786833904497E7i                            1.4933098698408311                                6.844576666666666E14
4.3800000000000003E-7                             1.4933260546674203                                -2.1422019008024644E7i                            1.4933260546674203                                6.844576666666666E14
4.4E-7                                            1.4924256216906837-7.851127093097666E-15i         -1.121138327185246E-7-2.131178804151196E7i        1.4924256216906837                                6.813464954545454E14
4.4E-7                                            1.4929706553097721                                -2.131957110339236E7i                             1.4929706553097721                                6.813464954545454E14
4.4E-7                                            1.4929832322494423                                -2.131975070167087E7i                             1.4929832322494423                                6.813464954545454E14
4.4E-7                                            1.4933013083148787                                -2.132429281726386E7i                             1.4933013083148787                                6.813464954545454E14
4.4E-7                                            1.4933177021386737                                -2.1324526920520216E7i                            1.4933177021386737                                6.813464954545454E14
4.4200000000000007E-7                             1.4924090725963624-1.3130525324712865E-14i        -1.8665503121218398E-7-2.1215119360269174E7i      1.4924090725963624                                6.78263479638009E14
4.4200000000000007E-7                             1.4929590044496825                                -2.1222936834795713E7i                            1.4929590044496825                                6.78263479638009E14
4.4200000000000007E-7                             1.4929717446352064                                -2.1223117941009503E7i                            1.4929717446352064                                6.78263479638009E14
4.4200000000000007E-7                             1.4932926406289386                                -2.122767959031482E7i                             1.4932926406289386                                6.78263479638009E14
4.4200000000000007E-7                             1.4933092496637772                                -2.122791569358103E7i                             1.4933092496637772                                6.78263479638009E14
4.4400000000000006E-7                             1.492392447893576-4.200648096382881E-16i          -5.944470810771354E-9-2.111932049808714E7i        1.492392447893576                                 6.752082387387386E14
4.4400000000000006E-7                             1.4929472989393022                                -2.1127172371821783E7i                            1.4929472989393022                                6.752082387387386E14
4.4400000000000006E-7                             1.4929602041330163                                -2.112735499732523E7i                             1.4929602041330163                                6.752082387387386E14
4.4400000000000006E-7                             1.4932839314369841                                -2.113193616543294E7i                             1.4932839314369841                                6.752082387387386E14
4.4400000000000006E-7                             1.4933007579097837                                -2.113217428220471E7i                             1.4933007579097837                                6.752082387387386E14
4.4600000000000005E-7                             1.4923757505624322-2.9005213702082216E-15i        -4.0862137346306495E-8-2.102437979534749E7i       1.4923757505624322                                6.72180399103139E14
4.4600000000000005E-7                             1.492935541939423                                 -2.103226605757842E7i                             1.492935541939423                                 6.72180399103139E14
4.4600000000000005E-7                             1.4929486137167263                                -2.103245021093961E7i                             1.4929486137167263                                6.72180399103139E14
4.4600000000000005E-7                             1.4932751838941243                                -2.1037050885693844E7i                            1.4932751838941243                                6.72180399103139E14
4.4600000000000005E-7                             1.4932922298466187                                -2.103729102667649E7i                             1.4932922298466187                                6.72180399103139E14
4.4800000000000004E-7                             1.4923589795622947-1.1577563350607976E-14i        -1.6237494628901983E-7-2.0930285744248502E7i      1.4923589795622947                                6.6917959375E14
4.4800000000000004E-7                             1.492923732330423                                 -2.09382063832996E7i                              1.492923732330423                                 6.6917959375E14
4.4800000000000004E-7                             1.4929369723456727                                -2.0938392074079253E7i                            1.4929369723456727                                6.6917959375E14
4.4800000000000004E-7                             1.4932663968784232                                -2.0943012242347118E7i                            1.4932663968784232                                6.6917959375E14
4.4800000000000004E-7                             1.493283664433398                                 -2.0943254419239324E7i                            1.493283664433398                                 6.6917959375E14
4.5000000000000003E-7                             1.4923421342911012+5.982310258476127E-15i         8.352880870899314E-8-2.0837027047695268E7i        1.4923421342911012                                6.662054622222221E14
4.5000000000000003E-7                             1.4929118694590526                                -2.0844982051331393E7i                            1.4929118694590526                                6.662054622222221E14
4.5000000000000003E-7                             1.492925279417186                                 -2.0845169289668977E7i                            1.492925279417186                                 6.662054622222221E14
4.5000000000000003E-7                             1.4932575697339736                                -2.084980893774933E7i                             1.4932575697339736                                6.662054622222221E14
4.5000000000000003E-7                             1.493275061066857                                 -2.0850053162828833E7i                            1.493275061066857                                 6.662054622222221E14
4.52E-7                                           1.4923252164594096+1.580585955633168E-14i         2.197149215302815E-7-2.0744592640688844E7i        1.4923252164594096                                6.632576504424779E14
4.52E-7                                           1.4928999551358024                                -2.0752581998226408E7i                            1.4928999551358024                                6.632576504424779E14
4.52E-7                                           1.4929135366374036                                -2.0752770792676207E7i                            1.4929135366374036                                6.632576504424779E14
4.52E-7                                           1.493248704266603                                 -2.075742990843556E7i                             1.493248704266603                                 6.632576504424779E14
4.52E-7                                           1.4932664214503197                                -2.075767619239223E7i                             1.4932664214503197                                6.632576504424779E14
4.54E-7                                           1.4923082258888076+4.300225209900483E-14i         5.951346223878847E-7-2.0652971627065618E7i        1.4923082258888076                                6.603358105726872E14
4.54E-7                                           1.4928879891593505                                -2.066099532764517E7i                             1.4928879891593505                                6.603358105726872E14
4.54E-7                                           1.492901743826593                                 -2.0661185686947204E7i                            1.492901743826593                                 6.603358105726872E14
4.54E-7                                           1.493239800271943+1.9486855238416555E-16i         2.696905782316177E-9-2.066586425807148E7i         1.493239800271943                                 6.603358105726872E14
4.54E-7                                           1.493257745403028                                 -2.0666112611780662E7i                            1.493257745403028                                 6.603358105726872E14
4.5600000000000006E-7                             1.492291161231329-2.2175464040815953E-14i         -3.055538373709299E-7-2.056215328570756E7i        1.492291161231329                                 6.574396008771929E14
4.5600000000000006E-7                             1.4928759700812988                                -2.0570211317228697E7i                            1.4928759700812988                                6.574396008771929E14
4.5600000000000006E-7                             1.4928898996374078                                -2.0570403251400363E7i                            1.4928898996374078                                6.574396008771929E14
4.5600000000000006E-7                             1.4932308562996115                                -2.0575101264317784E7i                            1.4932308562996115                                6.574396008771929E14
