% Model:              HY_Ge.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 8 2024, 10:34
% Table:              Table 1 - Global Evaluation 2
% daddy (m)                                       Effective mode index                              Eigenvalue                                        real(ewfd.neff) (1)                               Frequency (Hz)
4.84E-7                                           1.4927022978369824                                -1.937794451603829E7i                             1.4927022978369824                                6.194059049586776E14
4.84E-7                                           1.4927188510611786                                -1.9378159406482622E7i                            1.4927188510611786                                6.194059049586776E14
4.84E-7                                           1.4931016116195814                                -1.938312832283949E7i                             1.4931016116195814                                6.194059049586776E14
4.84E-7                                           1.4931232353151922                                -1.9383409037067898E7i                            1.4931232353151922                                6.194059049586776E14
4.860000000000001E-7                              1.4920264948927664+4.2721720472086904E-15i        5.5232198841080176E-8-1.9289462861384537E7i       1.4920264948927664                                6.168569094650205E14
4.860000000000001E-7                              1.4926895106844027                                -1.929803457142659E7i                             1.4926895106844027                                6.168569094650205E14
4.860000000000001E-7                              1.4927062639208917                                -1.9298251163379993E7i                            1.4927062639208917                                6.168569094650205E14
4.860000000000001E-7                              1.4930920960251823                                -1.930323934158723E7i                             1.4930920960251823                                6.168569094650205E14
4.860000000000001E-7                              1.4931139823755042                                -1.930352229630898E7i                             1.4931139823755042                                6.168569094650205E14
4.88E-7                                           1.4920082777691048+1.8001150191713203E-14i        2.3177164425595363E-7-1.9210173133338436E7i       1.4920082777691048                                6.143288073770491E14
4.88E-7                                           1.4926766755473266                                -1.921877900854228E7i                             1.4926766755473266                                6.143288073770491E14
4.88E-7                                           1.4926936303261367                                -1.921899730775766E7i                             1.4926936303261367                                6.143288073770491E14
4.88E-7                                           1.4930825455146257                                -1.9224004738491375E7i                            1.4930825455146257                                6.143288073770491E14
4.88E-7                                           1.4931046965575563                                -1.9224289941580474E7i                            1.4931046965575563                                6.143288073770491E14
4.900000000000001E-7                              1.4919899885642318+7.942599897984558E-15i         1.0184658567310743E-7-1.9131529744093508E7i       1.4919899885642318                                6.118213428571428E14
4.900000000000001E-7                              1.4926637892560652                                -1.9140169773903497E7i                            1.4926637892560652                                6.118213428571428E14
4.900000000000001E-7                              1.4926809473279385                                -1.9140389788893484E7i                            1.4926809473279385                                6.118213428571428E14
4.900000000000001E-7                              1.493072956918055                                 -1.9145416460111633E7i                            1.493072956918055                                 6.118213428571428E14
4.900000000000001E-7                              1.4930953749145055                                -1.9145703922205336E7i                            1.4930953749145055                                6.118213428571428E14
4.92E-7                                           1.4919716264443514+3.2573142563535235E-14i        4.159818917964849E-7-1.9053524800821096E7i        1.4919716264443514                                6.093342642276422E14
4.92E-7                                           1.4926508509065761                                -1.9062198973913223E7i                            1.4926508509065761                                6.093342642276422E14
4.92E-7                                           1.4926682140925998                                -1.906242071398499E7i                             1.4926682140925998                                6.093342642276422E14
4.92E-7                                           1.4930633293291535                                -1.9067466612864986E7i                            1.4930633293291535                                6.093342642276422E14
4.92E-7                                           1.4930860166124575                                -1.9067756345395707E7i                            1.4930860166124575                                6.093342642276422E14
4.940000000000001E-7                              1.4919531968054713+3.518642345790913E-15i         4.475360706132262E-8-1.897615061774848E7i         1.4919531968054713                                6.068673238866396E14
4.940000000000001E-7                              1.4926378662648232                                -1.898485892764175E7i                             1.4926378662648232                                6.068673238866396E14
4.940000000000001E-7                              1.492655436004032                                 -1.8985082397130106E7i                            1.492655436004032                                 6.068673238866396E14
4.940000000000001E-7                              1.4930536685051095                                -1.89901475157528E7i                              1.4930536685051095                                6.068673238866396E14
4.940000000000001E-7                              1.4930766270279345                                -1.8990439525172412E7i                            1.4930766270279345                                6.068673238866396E14
4.96E-7                                           1.4919346932508921+6.673846991691916E-15i         8.454237371081316E-8-1.889939948368042E7i         1.4919346932508921                                6.044202782258065E14
4.96E-7                                           1.492624828471521                                 -1.890814191811232E7i                             1.492624828471521                                 6.044202782258065E14
4.96E-7                                           1.4926426066764056                                -1.8908367127297238E7i                            1.4926426066764056                                6.044202782258065E14
4.96E-7                                           1.4930439675901517                                -1.89134514518862E7i                              1.4930439675901517                                6.044202782258065E14
4.96E-7                                           1.4930671997813083                                -1.891374575060017E7i                             1.4930671997813083                                6.044202782258065E14
4.98E-7                                           1.4919161214483427+2.298708730647995E-16i         2.9002435586130353E-9-1.8823263963511206E7i       1.4919161214483427                                6.019928875502008E14
4.98E-7                                           1.4926117435857431                                -1.8832040515304506E7i                            1.4926117435857431                                6.019928875502008E14
4.98E-7                                           1.49262973176472                                  -1.8832267469243962E7i                            1.49262973176472                                  6.019928875502008E14
4.98E-7                                           1.4930342326342325                                -1.88373709911718E7i                              1.4930342326342325                                6.019928875502008E14
4.98E-7                                           1.4930577405198058                                -1.883766758635501E7i                             1.4930577405198058                                6.019928875502008E14
5.000000000000001E-7                              1.4918974779617307+1.2066685550692943E-15i        1.5163444271694018E-8-1.8747736626694847E7i       1.4918974779617307                                5.995849159999999E14
5.000000000000001E-7                              1.492598607916841                                 -1.875654728555959E7i                             1.492598607916841                                 5.995849159999999E14
5.000000000000001E-7                              1.4926168078380697                                -1.8756775992514905E7i                            1.4926168078380697                                5.995849159999999E14
5.000000000000001E-7                              1.4930244599471691                                -1.8761898699999575E7i                            1.4930244599471691                                5.995849159999999E14
5.000000000000001E-7                              1.4930482458153493                                -1.876219760203451E7i                             1.4930482458153493                                5.995849159999999E14
5.02E-7                                           1.4918787637070994+8.09375617588934E-15i          1.0130392407219507E-7-1.867281021557309E7i        1.4918787637070994                                5.971961314741035E14
5.02E-7                                           1.4925854224354074                                -1.8681654972025074E7i                            1.4925854224354074                                5.971961314741035E14
5.02E-7                                           1.492603835809092                                 -1.8681885439433422E7i                            1.492603835809092                                 5.971961314741035E14
5.02E-7                                           1.4930146504954331                                -1.868702732150751E7i                             1.4930146504954331                                5.971961314741035E14
5.02E-7                                           1.493038716578329                                 -1.8687328539950643E7i                            1.493038716578329                                 5.971961314741035E14
5.040000000000001E-7                              1.4918599797169163+1.2223088489502868E-14i        1.5238081350317524E-7-1.8598477589140005E7i       1.4918599797169163                                5.948263055555555E14
5.040000000000001E-7                              1.4925721882378367                                -1.8607356434604876E7i                            1.4925721882378367                                5.948263055555555E14
5.040000000000001E-7                              1.4925908167065935                                -1.8607588668972313E7i                            1.4925908167065935                                5.948263055555555E14
5.040000000000001E-7                              1.4930048053711427                                -1.8612749715588253E7i                            1.4930048053711427                                5.948263055555555E14
5.040000000000001E-7                              1.4930291538351315                                -1.861305325906283E7i                             1.4930291538351315                                5.948263055555555E14
5.06E-7                                           1.4918411252761954+2.1575258992313345E-15i        2.6790780691521233E-8-1.8524731697592195E7i       1.4918411252761954                                5.924752134387351E14
5.06E-7                                           1.4925589045476189                                -1.8533644622833315E7i                            1.4925589045476189                                5.924752134387351E14
5.06E-7                                           1.4925777498154362                                -1.8533878631350823E7i                            1.4925777498154362                                5.924752134387351E14
5.06E-7                                           1.4929949237953983                                -1.8539058831788443E7i                            1.4929949237953983                                5.924752134387351E14
5.06E-7                                           1.4930195568702866                                -1.8539364709603086E7i                            1.4930195568702866                                5.924752134387351E14
5.08E-7                                           1.4918222006389226-1.4025465312455077E-14i        -1.734736172786903E-7-1.8451565614131484E7i       1.4918222006389226                                5.901426338582676E14
5.08E-7                                           1.4925455716268259                                -1.8460512610121313E7i                            1.4925455716268259                                5.901426338582676E14
5.08E-7                                           1.4925646353874849                                -1.84607483997687E7i                              1.4925646353874849                                5.901426338582676E14
5.08E-7                                           1.4929850060268388                                -1.8465947743518226E7i                            1.4929850060268388                                5.901426338582676E14
5.08E-7                                           1.4930099259341711                                -1.846625596476942E7i                             1.4930099259341711                                5.901426338582676E14
5.1E-7                                            1.4918032054741288-2.3555935968590322E-14i        -2.9020845249943106E-7-1.8378972513408735E7i      1.4918032054741288                                5.878283490196079E14
5.1E-7                                            1.4925321891101735                                -1.8387953570803188E7i                            1.4925321891101735                                5.878283490196079E14
5.1E-7                                            1.4925514730908644                                -1.838819114888974E7i                             1.4925514730908644                                5.878283490196079E14
5.1E-7                                            1.4929750516973967                                -1.839340962511915E7i                             1.4929750516973967                                5.878283490196079E14
5.1E-7                                            1.4930002606941362                                -1.839372019923272E7i                             1.4930002606941362                                5.878283490196079E14
5.12E-7                                           1.491784140792647-8.428700496010578E-15i          -1.034357170217792E-7-1.830694569318727E7i        1.491784140792647                                 5.8553214453125E14
5.12E-7                                           1.4925187580720438                                -1.8315960803531617E7i                            1.4925187580720438                                5.8553214453125E14
5.12E-7                                           1.4925382639327411                                -1.8316200176456105E7i                            1.4925382639327411                                5.8553214453125E14
5.12E-7                                           1.492965061877176                                 -1.832143777523268E7i                             1.492965061877176                                 5.8553214453125E14
5.12E-7                                           1.4929905621549224                                -1.8321750710721873E7i                            1.4929905621549224                                5.8553214453125E14
5.140000000000001E-7                              1.491765005391096+2.3032898310586497E-14i         2.815563584568844E-7-1.823547852847862E7i         1.491765005391096                                 5.832538093385214E14
5.140000000000001E-7                              1.4925052772110274                                -1.8244527682218526E7i                            1.4925052772110274                                5.832538093385214E14
5.140000000000001E-7                              1.492525006710702                                 -1.8244768857515167E7i                            1.492525006710702                                 5.832538093385214E14
5.140000000000001E-7                              1.4929550352629612                                -1.825002556778992E7i                             1.4929550352629612                                5.832538093385214E14
5.140000000000001E-7                              1.4929808291144269                                -1.8250340874304596E7i                            1.4929808291144269                                5.832538093385214E14
5.16E-7                                           1.4917458030794988+2.6617127807640106E-14i        3.2410919837264633E-7-1.816456455805411E7i        1.4917458030794988                                5.809931356589148E14
5.16E-7                                           1.4924917506073092                                -1.8173647749036018E7i                            1.4924917506073092                                5.809931356589148E14
5.16E-7                                           1.4925117052250438                                -1.8173890730743304E7i                            1.4925117052250438                                5.809931356589148E14
5.16E-7                                           1.4929449759274724                                -1.8179166544912938E7i                            1.4929449759274724                                5.809931356589148E14
5.16E-7                                           1.492971065366989                                 -1.8179484228601005E7i                            1.492971065366989                                 5.809931356589148E14
5.180000000000001E-7                              1.4917265282942997+1.3117010393687293E-15i        1.591054188798029E-8-1.809419730677366E7i         1.4917265282942997                                5.787499189189189E14
5.180000000000001E-7                              1.4924781722780691                                -1.810331452382974E7i                             1.4924781722780691                                5.787499189189189E14
5.180000000000001E-7                              1.4924983539224217                                -1.8103559321148794E7i                            1.4924983539224217                                5.787499189189189E14
5.180000000000001E-7                              1.4929348778910485                                -1.8108854226526994E7i                            1.4929348778910485                                5.787499189189189E14
5.180000000000001E-7                              1.4929612653650617                                -1.8109174298706558E7i                            1.4929612653650617                                5.787499189189189E14
5.200000000000001E-7                              1.4917071844385752+2.4259156715950584E-14i        2.931245712350532E-7-1.8024370507459007E7i        1.4917071844385752                                5.765239576923076E14
5.200000000000001E-7                              1.4924645458670442                                -1.8033521742458202E7i                            1.4924645458670442                                5.765239576923076E14
5.200000000000001E-7                              1.4924849561971572                                -1.803376836147028E7i                             1.4924849561971572                                5.765239576923076E14
5.200000000000001E-7                              1.492924744790413                                 -1.8039082348446067E7i                            1.492924744790413                                 5.765239576923076E14
5.200000000000001E-7                              1.4929514324975106                                -1.8039404817309756E7i                            1.4929514324975106                                5.765239576923076E14
5.22E-7                                           1.4916877713572847-1.0475803642186938E-14i        -1.2609466575763862E-7-1.79550779461524E7i        1.4916877713572847                                5.743150536398468E14
5.22E-7                                           1.4924508711983064                                -1.7964263190805692E7i                            1.4924508711983064                                5.743150536398468E14
5.22E-7                                           1.492471511892989                                 -1.796451163775887E7i                             1.492471511892989                                 5.743150536398468E14
5.22E-7                                           1.4929145764466596                                -1.796984469655917E7i                             1.4929145764466596                                5.743150536398468E14
5.22E-7                                           1.4929415666070787                                -1.7970169570466034E7i                            1.4929415666070787                                5.743150536398468E14
5.24E-7                                           1.491668289078095+2.152298517194683E-14i          2.5807806144851226E-7-1.7886313505956486E7i       1.491668289078095                                 5.721230114503818E14
5.24E-7                                           1.492437148292009                                 -1.789553275197968E7i                             1.492437148292009                                 5.721230114503818E14
5.24E-7                                           1.4924580210358784                                -1.789578303312014E7i                             1.4924580210358784                                5.721230114503818E14
5.24E-7                                           1.4929043728767553                                -1.7901135153975923E7i                            1.4929043728767553                                5.721230114503818E14
5.24E-7                                           1.4929316677185027                                -1.7901462441282466E7i                            1.4929316677185027                                5.721230114503818E14
5.26E-7                                           1.4916487377037129+4.434287076252321E-15i         5.296853118883062E-8-1.7818071163902935E7i        1.4916487377037129                                5.699476387832699E14
5.26E-7                                           1.492423377248988                                 -1.7827324403083988E7i                            1.492423377248988                                 5.699476387832699E14
5.26E-7                                           1.4924444837266648                                -1.7827576524586696E7i                            1.4924444837266648                                5.699476387832699E14
5.26E-7                                           1.4928941341782642                                -1.783294769780125E7i                             1.4928941341782642                                5.699476387832699E14
5.26E-7                                           1.4929217359313                                   -1.783327740679199E7i                             1.4929217359313                                   5.699476387832699E14
5.280000000000001E-7                              1.4916291171985627+7.665435038835126E-15i         9.121846365369023E-8-1.7750344986634973E7i        1.4916291171985627                                5.677887462121211E14
5.280000000000001E-7                              1.4924095580216301                                -1.7759632210711904E7i                            1.4924095580216301                                5.677887462121211E14
5.280000000000001E-7                              1.4924308999283573                                -1.775988617880807E7i                             1.4924308999283573                                5.677887462121211E14
5.280000000000001E-7                              1.4928838603004682                                -1.776527639463152E7i                             1.4928838603004682                                5.677887462121211E14
5.280000000000001E-7                              1.4929117712073408                                -1.7765608533646617E7i                            1.4929117712073408                                5.677887462121211E14
5.3E-7                                            1.491563362547373-1.6174427235119727E-15i         -1.9174891236933885E-8-1.768258302695289E7i       1.491563362547373                                 5.656461471698112E14
5.3E-7                                            1.4923496582891427                                -1.7691904615352485E7i                            1.4923496582891427                                5.656461471698112E14
5.3E-7                                            1.4923712282600399                                -1.7692160328794405E7i                            1.4923712282600399                                5.656461471698112E14
5.3E-7                                            1.4928275328726897                                -1.7697569850375157E7i                            1.4928275328726897                                5.656461471698112E14
5.3E-7                                            1.492855746331646                                 -1.769790432281059E7i                             1.492855746331646                                 5.656461471698112E14
5.32E-7                                           1.4914844691371814-4.136989866121232E-15i         -4.8859913426247676E-8-1.7615175380393386E7i      1.4914844691371814                                5.635196578947368E14
5.32E-7                                           1.4922766506201046                                -1.7624531438765798E7i                            1.4922766506201046                                5.635196578947368E14
5.32E-7                                           1.4922984475722259                                -1.762478887164044E7i                             1.4922984475722259                                5.635196578947368E14
5.32E-7                                           1.4927581146973348                                -1.763021776962292E7i                             1.4927581146973348                                5.635196578947368E14
5.32E-7                                           1.4927866302424944                                -1.763055455243189E7i                             1.4927866302424944                                5.635196578947368E14
5.340000000000001E-7                              1.4914044134931974-6.230854450003363E-15i         -7.331388226860611E-8-1.754825898487499E7i        1.4914044134931974                                5.6140909737827706E14
5.340000000000001E-7                              1.492202503117915                                 -1.755764951859004E7i                             1.492202503117915                                 5.6140909737827706E14
5.340000000000001E-7                              1.4922245283028501                                -1.7557908672744296E7i                            1.4922245283028501                                5.6140909737827706E14
5.340000000000001E-7                              1.4926875702817306                                -1.756335694719806E7i                             1.4926875702817306                                5.6140909737827706E14
5.340000000000001E-7                              1.4927163897289102                                -1.756369604443978E7i                             1.4927163897289102                                5.6140909737827706E14
5.36E-7                                           1.4913235815079833-6.302976845392151E-15i         -7.388576773593488E-8-1.7481832864890665E7i       1.4913235815079833                                5.593142873134328E14
5.36E-7                                           1.4921276014274185                                -1.749125787635424E7i                             1.4921276014274185                                5.593142873134328E14
5.36E-7                                           1.4921498561547741                                -1.7491518754294418E7i                            1.4921498561547741                                5.593142873134328E14
5.36E-7                                           1.49261628515647                                  -1.7496986403268855E7i                            1.49261628515647                                  5.593142873134328E14
5.36E-7                                           1.4926454103798013                                -1.749732781964069E7i                             1.4926454103798013                                5.593142873134328E14
5.380000000000001E-7                              1.4912410579945565-5.252493760962344E-16i         -6.134273536232535E-9-1.7415880864413265E7i       1.4912410579945565                                5.5723505204460956E14
5.380000000000001E-7                              1.492051031037472                                 -1.7425340363897387E7i                            1.492051031037472                                 5.5723505204460956E14
5.380000000000001E-7                              1.4920735164332812                                -1.7425602965957936E7i                            1.4920735164332812                                5.5723505204460956E14
5.380000000000001E-7                              1.4925433450986645                                -1.7431089993034568E7i                            1.4925433450986645                                5.5723505204460956E14
5.380000000000001E-7                              1.4925727777952595                                -1.7431433731114116E7i                            1.4925727777952595                                5.5723505204460956E14
5.4E-7                                            1.491158348253263+3.964610760911368E-14i          4.613034089193405E-7-1.7350415230413117E7i        1.491158348253263                                 5.551712185185185E14
5.4E-7                                            1.4919742963904234                                -1.7359909218092427E7i                            1.4919742963904234                                5.551712185185185E14
5.4E-7                                            1.4919970136516656                                -1.7360173545429565E7i                            1.4919970136516656                                5.551712185185185E14
5.4E-7                                            1.4924702540842192                                -1.7365679947897315E7i                            1.4924702540842192                                5.551712185185185E14
5.4E-7                                            1.4924999960166498                                -1.7366026010995194E7i                            1.4924999960166498                                5.551712185185185E14
5.420000000000001E-7                              1.4910750810182414-2.320240249130981E-14i         -2.6897600447355127E-7-1.7285426274825502E7i      1.4910750810182414                                5.531226162361623E14
5.420000000000001E-7                              1.4918970260084126                                -1.7294954748415086E7i                            1.4918970260084126                                5.531226162361623E14
5.420000000000001E-7                              1.4919199767566078                                -1.7295220807093773E7i                            1.4919199767566078                                5.531226162361623E14
5.420000000000001E-7                              1.4923966407576106                                -1.7300746578768242E7i                            1.4923966407576106                                5.531226162361623E14
5.420000000000001E-7                              1.4924266941176667                                -1.7301094975134175E7i                            1.4924266941176667                                5.531226162361623E14
5.44E-7                                           1.4909900639050415-1.6559086549383613E-15i        -1.912570024033129E-8-1.7220894968159758E7i       1.4909900639050415                                5.510890772058824E14
5.44E-7                                           1.4918180286809792                                -1.7230457938959453E7i                            1.4918180286809792                                5.510890772058824E14
5.44E-7                                           1.4918412140072037                                -1.7230725728851136E7i                            1.4918412140072037                                5.510890772058824E14
5.44E-7                                           1.4923213142863443                                -1.7236270874108247E7i                            1.4923213142863443                                5.510890772058824E14
5.44E-7                                           1.4923516807429515                                -1.72366216058619E7i                              1.4923516807429515                                5.510890772058824E14
5.46E-7                                           1.4909045711405204-5.090921158884041E-15i         -5.858461726283859E-8-1.7156830944683146E7i       1.4909045711405204                                5.490704358974359E14
5.46E-7                                           1.4917385779449548                                -1.7166428415928036E7i                            1.4917385779449548                                5.490704358974359E14
5.46E-7                                           1.4917619989518962                                -1.7166697937039196E7i                            1.4917619989518962                                5.490704358974359E14
5.46E-7                                           1.492245547805019                                 -1.7172262455444407E7i                            1.492245547805019                                 5.490704358974359E14
5.46E-7                                           1.492276229034141                                 -1.7172615524763133E7i                            1.492276229034141                                 5.490704358974359E14
5.480000000000001E-7                              1.4908188556151996-1.8141724805073998E-14i        -2.0800696850754813E-7-1.709323198771479E7i       1.4908188556151996                                5.470665291970802E14
5.480000000000001E-7                              1.4916589262294204                                -1.7102863957313817E7i                            1.4916589262294204                                5.470665291970802E14
5.480000000000001E-7                              1.491682584354852                                 -1.7103135213492844E7i                            1.491682584354852                                 5.470665291970802E14
5.480000000000001E-7                              1.4921695936653965                                -1.7108719099887867E7i                            1.4921695936653965                                5.470665291970802E14
5.480000000000001E-7                              1.492200591679329                                 -1.7109074512781467E7i                            1.492200591679329                                 5.470665291970802E14
5.5E-7                                            1.4907313193778164+5.2931011489497E-15i           6.046824612453844E-8-1.7030074768849336E7i        1.4907313193778164                                5.450771963636363E14
5.5E-7                                            1.491577476706562                                 -1.703974124756849E7i                             1.491577476706562                                 5.450771963636363E14
5.5E-7                                            1.4916013731510283                                -1.70400142399117E7i                              1.4916013731510283                                5.450771963636363E14
5.5E-7                                            1.4920918555601212                                -1.7045617497850325E7i                            1.4920918555601212                                5.450771963636363E14
5.5E-7                                            1.4921231721443657                                -1.7045975257672135E7i                            1.4921231721443657                                5.450771963636363E14
5.520000000000001E-7                              1.490644077158994-1.7592168193302804E-15i         -2.0024429839418878E-8-1.6967378557680547E7i      1.490644077158994                                 5.431022789855072E14
5.520000000000001E-7                              1.4914963428209664                                -1.69770795415304E7i                              1.4914963428209664                                5.431022789855072E14
5.520000000000001E-7                              1.4915204789102725                                -1.6977354272547975E7i                            1.4915204789102725                                5.431022789855072E14
5.520000000000001E-7                              1.49201444624716                                  -1.698297689630406E7i                             1.49201444624716                                  5.431022789855072E14
5.520000000000001E-7                              1.4920460833032207                                -1.6983337007691383E7i                            1.4920460833032207                                5.431022789855072E14
5.54E-7                                           1.4905548675855136-1.8880034362482704E-14i        -2.1412771571371305E-7-1.6905112714004174E7i      1.4905548675855136                                5.411416209386281E14
5.54E-7                                           1.4914132647514116                                -1.6914848216640446E7i                            1.4914132647514116                                5.411416209386281E14
5.54E-7                                           1.4914376415254342                                -1.691512468557253E7i                             1.4914376415254342                                5.411416209386281E14
5.54E-7                                           1.4919351066496358                                -1.6920766681166787E7i                            1.4919351066496358                                5.411416209386281E14
5.54E-7                                           1.4919670658072532                                -1.69211291456245E7i                              1.4919670658072532                                5.411416209386281E14
5.560000000000001E-7                              1.4904663499253892-5.857741009080322E-15i         -6.619653280848345E-8-1.6843302645138115E7i       1.4904663499253892                                5.391950683453237E14
5.560000000000001E-7                              1.491330899716271                                 -1.685307265690681E7i                             1.491330899716271                                 5.391950683453237E14
5.560000000000001E-7                              1.4913555187902068                                -1.6853350869503267E7i                            1.4913555187902068                                5.391950683453237E14
5.560000000000001E-7                              1.4918564931138103                                -1.6859012226534452E7i                            1.4918564931138103                                5.391950683453237E14
5.560000000000001E-7                              1.4918887765662558                                -1.685937705191947E7i                             1.4918887765662558                                5.391950683453237E14
5.58E-7                                           1.490376694910082+2.3322846198836254E-14i         2.626196497457656E-7-1.6781922852368996E7i        1.490376694910082                                 5.372624695340502E14
5.58E-7                                           1.4912474200423769                                -1.67917273816841E7i                              1.4912474200423769                                5.372624695340502E14
5.58E-7                                           1.4912722824611369                                -1.6792007337211434E7i                            1.4912722824611369                                5.372624695340502E14
5.58E-7                                           1.4917767785693101                                -1.6797688058599256E7i                            1.4917767785693101                                5.372624695340502E14
5.58E-7                                           1.4918093879509542                                -1.6798055246390693E7i                            1.4918093879509542                                5.372624695340502E14
5.6E-7                                            1.4902860800348854+7.83289504101625E-15i          8.78848768471306E-8-1.6720970717088308E7i         1.4902860800348854                                5.3534367499999994E14
5.6E-7                                            1.4911630028784897                                -1.6730809768385567E7i                            1.4911630028784897                                5.3534367499999994E14
5.6E-7                                            1.4911881099513105                                -1.6731091469083877E7i                            1.4911881099513105                                5.3534367499999994E14
5.6E-7                                            1.4916961401137065                                -1.673679155417668E7i                             1.4916961401137065                                5.3534367499999994E14
5.6E-7                                            1.4917290773248588                                -1.673716110882163E7i                             1.4917290773248588                                5.3534367499999994E14
5.620000000000001E-7                              1.4901950339948642+1.2477532378590689E-14i        1.3949937386302236E-7-1.6660447584392373E7i       1.4901950339948642                                5.3343853736654794E14
5.620000000000001E-7                              1.4910781767778236                                -1.667032116047428E7i                             1.4910781767778236                                5.3343853736654794E14
5.620000000000001E-7                              1.4911035296565562                                -1.6670604606800167E7i                            1.4911035296565562                                5.3343853736654794E14
5.620000000000001E-7                              1.4916151061218839                                -1.6676324054719107E7i                            1.4916151061218839                                5.3343853736654794E14
5.620000000000001E-7                              1.4916483729042531                                -1.6676695978844019E7i                            1.4916483729042531                                5.3343853736654794E14
5.64E-7                                           1.4901039718638758+1.1096304227198825E-14i        1.2361726185164963E-7-1.6600353514512494E7i       1.4901039718638758                                5.315469113475177E14
5.64E-7                                           1.4909933563032776                                -1.6610261612459453E7i                            1.4909933563032776                                5.315469113475177E14
5.64E-7                                           1.491018956420304                                 -1.6610546807989882E7i                            1.491018956420304                                 5.315469113475177E14
5.64E-7                                           1.4915340910182338                                -1.6616285613197207E7i                            1.4915340910182338                                5.315469113475177E14
5.64E-7                                           1.4915676893941614                                -1.6616659912526948E7i                            1.4915676893941614                                5.315469113475177E14
